iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1380,1540829942080,27283,-1.012040134e+06,770,2350,4224,5435,65,43,45345,10609,1091,32,0,0,0
1390,1540830269818,27238,-1.012494607e+06,799,2398,4271,5384,61,37,45311,10612,1124,30,0,0,0
1400,1540830596887,27268,-1.012933594e+06,801,2287,4314,5421,64,57,45297,10652,1092,36,0,0,0
1410,1540830923793,27315,-1.011659746e+06,767,2297,4233,5387,62,61,45369,10639,1039,30,0,0,0
1420,1540831250296,27351,-1.010394118e+06,749,2244,4089,5423,65,40,45520,10533,995,29,0,0,0
1430,1540831550194,27438,-1.010662042e+06,781,2324,4003,5398,77,73,45554,10432,1051,38,2,0,0
1440,1540831852192,27407,-1.011187008e+06,756,2328,4072,5442,54,68,45519,10431,1092,35,0,0,0
1450,1540832161377,27374,-1.011688218e+06,721,2382,4136,5392,62,72,45474,10482,1080,41,0,0,0
1460,1540832466550,27222,-1.012225640e+06,844,2360,4104,5444,61,48,45376,10585,1073,42,1,0,0
1470,1540832758916,27198,-1.011997853e+06,728,2323,4138,5508,51,66,45424,10527,1092,33,1,0,0
1480,1540833052955,27274,-1.012402083e+06,786,2317,4238,5498,60,47,45325,10598,1114,40,0,0,0
1490,1540833361034,27278,-1.012317108e+06,792,2405,4101,5497,48,55,45350,10589,1105,33,0,0,0
1500,1540833672707,27430,-1.012083349e+06,784,2415,4015,5487,54,57,45419,10530,1102,26,0,0,0
1510,1540833979807,27346,-1.012506665e+06,816,2262,4069,5590,76,53,45384,10558,1097,38,0,0,0
1520,1540834289390,27294,-1.013330360e+06,823,2242,4216,5599,83,73,45260,10644,1128,44,1,0,0
1530,1540834600082,27319,-1.011607666e+06,749,2185,4033,5658,78,62,45376,10672,995,33,1,0,0
1540,1540834902589,27310,-1.011672667e+06,690,2271,4088,5609,63,59,45442,10529,1067,39,0,0,0
1550,1540835148078,27331,-1.010797369e+06,699,2281,3914,5585,51,76,45575,10424,1052,26,0,0,0
1560,1540835393811,27250,-1.010864672e+06,655,2273,3983,5580,44,64,45530,10523,996,28,0,0,0
1570,1540835639074,27195,-1.012280902e+06,736,2198,4059,5734,69,50,45326,10688,1031,32,0,0,0
1580,1540835883069,27236,-1.012383730e+06,764,2230,4050,5649,61,62,45358,10653,1035,31,0,0,0
1590,1540836123917,27274,-1.012448966e+06,801,2272,4083,5654,64,50,45349,10574,1112,42,0,0,0
1600,1540836366022,27218,-1.012028507e+06,747,2306,4030,5623,71,61,45389,10577,1073,37,1,0,0
1610,1540836621126,27289,-1.011589508e+06,722,2217,4081,5636,54,49,45465,10499,1079,34,0,0,0
1620,1540836875051,27310,-1.011204165e+06,762,2268,4088,5459,55,48,45481,10545,1019,31,1,0,0
1630,1540837130725,27310,-1.011642013e+06,773,2375,3997,5486,64,60,45422,10593,1024,38,0,0,0
1640,1540837383902,27233,-1.011615256e+06,719,2416,4026,5483,56,56,45447,10550,1034,46,0,0,0
1650,1540837635688,27240,-1.011693719e+06,726,2388,4130,5437,56,64,45399,10586,1061,31,0,0,0
1660,1540837892503,27371,-1.011634726e+06,738,2414,4068,5456,67,64,45447,10483,1117,30,0,0,0
1670,1540838191083,27217,-1.012349409e+06,791,2324,4108,5523,66,65,45367,10589,1077,42,2,0,0
1680,1540838489580,27310,-1.010753318e+06,736,2292,4002,5530,52,57,45485,10547,1013,32,0,0,0
1690,1540838809868,27253,-1.011606950e+06,754,2234,4048,5648,54,59,45448,10498,1094,37,0,0,0
1700,1540839128819,27259,-1.011558003e+06,692,2323,4017,5613,50,60,45430,10568,1050,29,0,0,0
1710,1540839433580,27291,-1.011895774e+06,750,2228,4151,5584,60,63,45335,10683,1024,35,0,0,0
1720,1540839737185,27243,-1.012804089e+06,765,2248,4170,5648,53,67,45279,10680,1083,35,0,0,0
1730,1540840025354,27324,-1.012291039e+06,712,2322,4145,5447,54,84,45453,10509,1090,25,0,0,0
1740,1540840313685,27381,-1.011683407e+06,697,2299,4094,5502,63,60,45506,10460,1078,33,0,0,0
1750,1540840602477,27266,-1.012223470e+06,759,2271,4118,5516,67,63,45396,10598,1055,26,2,0,0
1760,1540840889981,27308,-1.010982729e+06,686,2225,4161,5466,72,46,45476,10576,996,28,1,0,0
1770,1540841176265,27286,-1.011621900e+06,712,2178,4160,5585,77,66,45437,10536,1070,34,0,0,0
1780,1540841465921,27315,-1.011711355e+06,659,2258,4113,5620,58,48,45470,10486,1094,26,1,0,0
1790,1540841763155,27254,-1.012263622e+06,844,2260,3966,5667,68,54,45384,10569,1082,42,0,0,0
1800,1540842063452,27383,-1.011080645e+06,726,2408,3832,5688,52,55,45434,10547,1074,22,0,0,0
1810,1540842376627,27312,-1.010751345e+06,721,2287,3939,5651,69,41,45496,10485,1065,31,0,0,0
1820,1540842689788,27295,-1.011185998e+06,663,2280,4028,5633,70,58,45463,10523,1064,27,0,0,0
1830,1540842985400,27284,-1.011756602e+06,734,2340,4100,5505,72,76,45352,10650,1049,25,1,0,0
