iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2260,21940,6710,5358,2939,1489,701,362,143,60,28,10,2,1,0,0,0,0,0,0,0
2270,21936,6797,5203,3022,1467,720,344,150,62,28,10,4,0,0,0,0,0,0,0,0
2280,21990,6634,5397,2931,1460,734,338,151,68,24,10,5,1,0,0,0,0,0,0,0
2290,21867,6824,5323,2960,1469,696,351,156,56,27,10,2,0,2,0,0,0,0,0,0
2300,21859,6723,5474,2932,1486,689,329,150,64,22,12,3,0,0,0,0,0,0,0,0
2310,21923,6695,5419,2935,1469,713,332,147,74,19,11,4,1,0,1,0,0,0,0,0
2320,21827,6775,5450,2949,1490,688,300,157,67,24,10,2,4,0,0,0,0,0,0,0
2330,21903,6695,5430,2964,1458,712,332,157,46,31,8,2,2,2,1,0,0,0,0,0
2340,21773,6873,5409,2958,1420,754,320,139,58,24,10,5,0,0,0,0,0,0,0,0
2350,21897,6771,5355,2943,1486,698,330,154,62,32,10,4,0,1,0,0,0,0,0,0
2360,21864,6801,5358,2955,1459,725,318,157,72,26,5,3,0,0,0,0,0,0,0,0
2370,21814,6806,5421,2978,1470,661,342,150,64,19,9,7,2,0,0,0,0,0,0,0
2380,21821,6776,5502,2901,1460,710,322,143,63,29,10,2,3,0,1,0,0,0,0,0
2390,21786,6837,5473,2881,1491,686,352,142,61,20,9,2,2,1,0,0,0,0,0,0
2400,21932,6704,5377,2923,1493,749,321,149,46,34,9,6,0,0,0,0,0,0,0,0
2410,21894,6703,5459,2947,1443,706,341,130,73,35,8,4,0,0,0,0,0,0,0,0
2420,21946,6715,5397,2882,1503,690,337,168,52,32,14,3,2,1,1,0,0,0,0,0
2430,21952,6676,5441,2862,1479,723,352,155,64,32,6,1,0,0,0,0,0,0,0,0
2440,21858,6715,5501,2930,1460,699,324,150,67,27,8,2,0,2,0,0,0,0,0,0
2450,21967,6656,5377,2951,1502,711,310,154,77,26,7,3,1,0,1,0,0,0,0,0
2460,21898,6725,5436,2866,1517,749,290,157,72,19,8,5,0,0,1,0,0,0,0,0
2470,21884,6768,5400,2904,1472,733,339,136,64,24,14,4,1,0,0,0,0,0,0,0
2480,21862,6682,5491,2956,1521,690,298,127,72,24,14,4,2,0,0,0,0,0,0,0
2490,21836,6828,5398,2945,1408,723,352,161,47,32,10,2,1,0,0,0,0,0,0,0
2500,21900,6713,5420,2922,1494,694,355,154,56,29,5,1,0,0,0,0,0,0,0,0
2510,21912,6681,5415,2979,1461,716,346,126,68,25,10,4,0,0,0,0,0,0,0,0
