iteration,0,1,2,3
7990,15248,13156,13202,15471
8000,15368,13072,13129,15508
8010,15290,13250,13097,15440
8020,15135,13160,13377,15405
8030,15272,13323,13212,15270
8040,15208,13130,13326,15413
8050,15201,13231,13248,15397
8060,15268,13184,13161,15464
8070,15178,13216,13224,15459
8080,15233,13264,13069,15511
8090,15123,13286,13305,15363
8100,15264,13142,13111,15560
8110,15098,13280,13355,15344
8120,15285,13118,13031,15643
8130,15124,13240,13220,15493
8140,15306,13153,13301,15317
8150,15084,13269,13207,15517
8160,15179,13156,13208,15534
8170,15182,13222,13237,15436
8180,15261,13252,13228,15336
8190,15065,13314,13258,15440
8200,15175,13228,13284,15390
8210,15177,13244,13400,15256
8220,15064,13291,13278,15444
8230,15028,13271,13242,15536
8240,15075,13265,13231,15506
8250,15084,13218,13220,15555
8260,15131,13125,13353,15468
8270,15210,13135,13255,15477
8280,15203,13172,13265,15437
8290,15212,13303,13114,15448
8300,15017,13148,13399,15513
8310,15097,13303,13288,15389
8320,15090,13367,13194,15426
8330,15230,13364,13068,15415
8340,15051,13295,13374,15357
8350,15238,13201,13343,15295
8360,15299,13112,13274,15392
8370,15170,13093,13273,15541
8380,15329,13172,13213,15363
8390,15366,13155,13135,15421
8400,15154,13252,13282,15389
8410,15184,13202,13236,15455
8420,15248,13174,13152,15503
8430,15132,13179,13299,15467
8440,15088,13244,13362,15383
8450,15254,13200,13196,15427
8460,15138,13167,13276,15496
8470,15188,13241,13252,15396
8480,15312,13400,13093,15272
8490,15138,13214,13403,15322
8500,15179,13281,13320,15297
8510,15191,13327,13121,15438
8520,15219,13167,13256,15435
8530,15139,13234,13173,15531
8540,15136,13122,13371,15448
8550,15199,13232,13117,15529
8560,15168,13290,13176,15443
8570,15226,13037,13255,15559
8580,15169,13150,13316,15442
8590,15291,13225,13080,15481
8600,15071,13242,13231,15533
8610,15170,13106,13412,15389
8620,15223,13169,13296,15389
8630,15226,13076,13415,15360
8640,15242,13058,13219,15558
8650,15130,13192,13356,15399
8660,15317,13186,13287,15287
8670,15282,13230,13217,15348
8680,15241,13203,13301,15332
8690,15313,13264,13099,15401
8700,15270,13170,13268,15369
8710,15335,13199,13116,15427
8720,15234,13222,13196,15425
8730,15168,13217,13359,15333
8740,15299,13175,13270,15333
8750,15136,12991,13400,15550
8760,15108,13294,13183,15492
8770,15134,13322,13180,15441
8780,15140,13280,13285,15372
8790,15238,13057,13353,15429
8800,15196,13126,13366,15389
8810,15348,13214,13152,15363
8820,15032,13141,13361,15543
8830,15167,13231,13232,15447
8840,15254,13114,13207,15502
8850,15240,13233,13184,15420
8860,15100,13177,13225,15575
8870,15217,13201,13200,15459
8880,15234,13185,13222,15436
8890,15067,13291,13336,15383
8900,15090,13125,13254,15608
8910,15227,13118,13227,15505
8920,15039,13282,13322,15434
8930,15183,13222,13279,15393
8940,15200,13189,13247,15441
8950,14974,13234,13434,15435
8960,15197,13306,13244,15330
8970,15141,13153,13422,15361
8980,15106,13196,13389,15386
8990,15046,13170,13314,15547
9000,15305,13183,13208,15381
9010,15281,13283,13280,15233
9020,15240,13185,13338,15314
9030,15116,13257,13200,15504
9040,15185,13270,13269,15353
9050,15059,13331,13340,15347
9060,15255,13129,13303,15390
9070,15059,13225,13329,15464
9080,15166,13039,13404,15468
9090,15169,13313,13227,15368
9100,15304,13175,13219,15379
9110,15104,13324,13168,15481
9120,15217,13135,13196,15529
9130,15171,13160,13327,15419
9140,15162,13152,13243,15520
9150,15014,13235,13277,15551
9160,15350,13078,13303,15346
9170,15091,13126,13391,15469
9180,15202,13235,13214,15426
9190,15193,13191,13200,15493
9200,15199,13240,13121,15517
9210,15232,13290,13244,15311
9220,15233,13163,13187,15494
9230,15177,13321,13245,15334
9240,15075,13274,13251,15477
9250,15245,13220,13263,15349
9260,15195,13214,13238,15430
9270,15212,13287,13176,15402
9280,15269,13207,13386,15215
9290,15114,13222,13241,15500
9300,15225,13138,13179,15535
9310,15309,13248,13092,15428
9320,15268,13224,13063,15522
9330,15108,13217,13337,15415
9340,15177,13251,13274,15375
9350,15174,13285,13076,15542
