iteration,0,1,2,3
4230,15303,13212,13150,15412
4240,15225,13138,13174,15540
4250,15145,13261,13151,15520
4260,15114,13270,13248,15445
4270,15111,13334,13153,15479
4280,15229,13157,13275,15416
4290,15252,13258,13155,15412
4300,15323,13246,13146,15362
4310,15180,13209,13308,15380
4320,15293,13180,13207,15397
4330,15220,13193,13226,15438
4340,15219,13232,13213,15413
4350,15249,13240,13136,15452
4360,15248,13232,13400,15197
4370,15350,13235,13209,15283
4380,15247,13116,13286,15428
4390,15246,13271,13179,15381
4400,15143,13308,13207,15419
4410,15276,13260,13148,15393
4420,15204,13223,13248,15402
4430,15136,13302,13262,15377
4440,15041,13346,13244,15446
4450,15197,13223,13361,15296
4460,15159,13072,13213,15633
4470,15189,13009,13425,15454
4480,15204,13329,13079,15465
4490,15169,13240,13210,15458
4500,15013,13340,13215,15509
4510,15338,13322,13012,15405
4520,15188,13190,13303,15396
4530,15274,13183,13271,15349
4540,15240,13299,13177,15361
4550,15240,13093,13205,15539
4560,15090,13384,13341,15262
4570,15276,13325,13035,15441
4580,15132,13330,13113,15502
4590,15230,13175,13278,15394
4600,15026,13300,13187,15564
4610,15137,13223,13264,15453
4620,15202,13091,13196,15588
4630,15054,13337,13235,15451
4640,15319,13145,13214,15399
4650,15193,13331,13286,15267
4660,15244,13278,13235,15320
4670,15070,13333,13192,15482
4680,15223,13187,13268,15399
4690,15218,13200,13255,15404
4700,15067,13321,13300,15389
4710,15234,13237,13245,15361
4720,15068,13297,13231,15481
4730,15300,13101,13237,15439
4740,15191,13263,13191,15432
4750,15106,13319,13238,15414
4760,15099,13420,13307,15251
4770,15247,13165,13255,15410
4780,15170,13159,13250,15498
4790,15135,13141,13231,15570
4800,15118,13077,13261,15621
4810,15018,13239,13296,15524
4820,15129,13167,13226,15555
4830,15222,13264,13224,15367
4840,15209,13342,13171,15355
4850,15314,13228,13282,15253
4860,15324,13216,13227,15310
4870,15129,13144,13304,15500
4880,15064,13268,13282,15463
4890,15314,13119,13184,15460
4900,14950,13305,13289,15533
4910,15228,13220,13144,15485
4920,15143,13280,13127,15527
4930,15202,13214,13269,15392
4940,15227,13069,13355,15426
4950,15232,13223,13301,15321
4960,14958,13295,13470,15354
4970,15103,13163,13370,15441
4980,15186,13229,13260,15402
4990,15052,13321,13251,15453
5000,15192,13263,13248,15374
5010,15018,13172,13415,15472
5020,15219,13218,13273,15367
5030,15061,13205,13199,15612
5040,15122,13150,13407,15398
5050,15081,13223,13350,15423
5060,15086,13250,13257,15484
5070,15237,13237,13217,15386
5080,15264,13150,13215,15448
5090,15296,12987,13332,15462
5100,15307,13119,13297,15354
5110,15043,13220,13232,15582
5120,15256,13130,13238,15453
5130,15253,13213,13172,15439
5140,15199,13171,13250,15457
5150,15079,13344,13272,15382
5160,15297,13160,13179,15441
5170,15330,13274,13129,15344
5180,15289,13148,13260,15380
5190,15267,13101,13280,15429
5200,15128,13304,13203,15442
5210,15162,13219,13354,15342
5220,15142,13193,13396,15346
5230,15175,13147,13306,15449
5240,15073,13214,13327,15463
5250,15336,13260,13129,15352
5260,15206,13217,13141,15513
5270,15210,13227,13277,15363
5280,15121,13281,13159,15516
5290,15191,13287,13199,15400
5300,15256,13139,13244,15438
5310,15345,13185,13190,15357
5320,15310,13076,13220,15471
5330,15267,13087,13221,15502
5340,15291,13208,13174,15404
5350,15266,13271,13161,15379
5360,15141,13348,13228,15360
5370,15198,13080,13358,15441
5380,15038,13232,13369,15438
5390,15208,13190,13189,15490
5400,15397,13224,13148,15308
5410,15245,13330,13092,15410
5420,15181,13129,13417,15350
5430,15227,13286,13016,15548
5440,15236,13184,13227,15430
5450,15073,13311,13285,15408
5460,15364,13226,13109,15378
5470,15357,13240,13188,15292
5480,15209,13285,13205,15378
5490,15290,13123,13290,15374
5500,15170,13332,13263,15312
5510,15267,13073,13243,15494
5520,15296,13175,13092,15514
5530,15170,13215,13206,15486
5540,15068,13227,13368,15414
5550,15152,13261,13204,15460
5560,15191,13051,13268,15567
5570,15380,13129,13094,15474
5580,15102,13261,13312,15402
5590,15115,13126,13276,15560
5600,15112,13245,13286,15434
5610,15022,13308,13203,15544
5620,15261,13102,13280,15434
5630,15089,13133,13314,15541
5640,15275,13159,13157,15486
5650,15111,13132,13327,15507
5660,15268,13113,13224,15472
5670,15180,13248,13170,15479
5680,15245,13037,13275,15520
5690,15084,13359,13227,15407
5700,15133,13235,13317,15392
5710,15260,13147,13305,15365
5720,15107,13244,13283,15443
5730,15152,13400,13099,15426
5740,15155,13240,13259,15423
5750,15171,13282,13188,15436
5760,15059,13183,13291,15544
5770,15390,13173,13197,15317
5780,15180,13225,13174,15498
5790,15268,13232,13129,15448
5800,15205,13200,13302,15370
5810,15136,13232,13147,15562
5820,15172,13128,13297,15480
5830,15276,13212,13185,15404
5840,15115,13342,13266,15354
5850,15168,13222,13275,15412
5860,15070,13139,13219,15649
5870,15036,13333,13242,15466
5880,15087,13123,13322,15545
5890,15353,13179,13103,15442
5900,15091,13307,13197,15482
5910,15273,13219,13248,15337
5920,15140,13167,13387,15383
5930,15206,13260,13235,15376
5940,15068,13354,13218,15437
5950,15314,13147,13204,15412
5960,15263,13174,13197,15443
5970,15257,13238,13235,15347
5980,15198,13188,13300,15391
5990,15226,13270,13127,15454
6000,15216,13251,13083,15527
6010,15065,13160,13507,15345
6020,15217,13200,13173,15487
6030,15216,13139,13210,15512
6040,15116,13305,13355,15301
6050,15101,13233,13340,15403
6060,15236,13130,13214,15497
6070,15126,13256,13213,15482
6080,15254,13260,13153,15410
6090,15043,13363,13268,15403
6100,15279,13215,13180,15403
6110,15250,13124,13169,15534
6120,14991,13373,13202,15511
6130,15074,13220,13223,15560
6140,15127,13178,13300,15472
6150,15235,13320,13163,15359
6160,15136,13132,13269,15540
6170,15190,13187,13249,15451
6180,15122,13381,13203,15371
6190,15220,13210,13246,15401
6200,15159,13311,13200,15407
6210,15356,13123,13251,15347
6220,15190,13351,13296,15240
6230,15244,13131,13299,15403
6240,15240,13111,13264,15462
6250,15136,13208,13317,15416
6260,15211,13152,13314,15400
6270,15145,13105,13319,15508
6280,15202,13150,13370,15355
6290,15138,13279,13104,15556
6300,15108,13320,13314,15335
6310,15264,13218,13150,15445
6320,15074,13384,13225,15394
6330,15151,13278,13258,15390
6340,15179,13257,13272,15369
6350,15356,13123,13229,15369
6360,14900,13214,13443,15520
6370,15143,13274,13202,15458
6380,15281,13269,13144,15383
6390,15218,13204,13158,15497
6400,15364,13173,13155,15385
6410,15259,13115,13176,15527
6420,15083,13262,13309,15423
6430,15192,13362,13249,15274
6440,15171,13280,13211,15415
6450,15110,13153,13409,15405
6460,15125,13267,13198,15487
6470,15120,13252,13196,15509
6480,15257,13192,13133,15495
6490,15131,13236,13202,15508
6500,15200,13282,13073,15522
6510,15221,13132,13476,15248
6520,15128,13256,13236,15457
6530,15148,13272,13277,15380
6540,15162,13232,13254,15429
6550,15128,13263,13409,15277
6560,15308,13202,13304,15263
6570,15221,13241,13150,15465
6580,15161,13408,13157,15351
6590,15257,13271,13106,15443
6600,15138,13166,13243,15530
6610,15324,13039,13274,15440
6620,15190,13174,13159,15554
6630,15205,13244,13159,15469
6640,15270,13157,13314,15336
6650,15175,13236,13213,15453
6660,15124,13170,13253,15530
6670,15054,13295,13282,15446
6680,15279,13252,13242,15304
6690,15181,13255,13186,15455
6700,15127,13202,13190,15558
6710,15044,13218,13259,15556
6720,15208,13274,13245,15350
6730,15174,13125,13275,15503
6740,15081,13309,13275,15412
6750,15165,13319,13236,15357
6760,15081,13241,13363,15392
6770,15091,13228,13288,15470
6780,15300,13240,13272,15265
6790,15115,13289,13203,15470
6800,15125,13176,13284,15492
6810,15072,13146,13434,15425
6820,15091,13134,13250,15602
6830,15259,13274,13174,15370
6840,15184,13254,13206,15433
6850,15148,13228,13284,15417
6860,15023,13301,13311,15442
6870,15266,13340,13127,15344
6880,15259,13063,13313,15442
6890,15231,13186,13181,15479
6900,15119,13211,13321,15426
6910,15002,13441,13186,15448
6920,15117,13216,13405,15339
6930,15295,13287,13183,15312
6940,15166,13234,13282,15395
6950,15105,13204,13288,15480
6960,15297,13249,13250,15281
6970,15177,13166,13152,15582
6980,15010,13343,13241,15483
6990,15254,13243,13236,15344
7000,15161,13171,13171,15574
7010,15076,13113,13405,15483
