iteration,0,1,2,3,4,5,6,7,8,9,10,11
3870,29836,8668,9846,6668,1673,309,65,10,2,0,0,0
3880,29747,8848,9749,6684,1683,273,74,15,3,1,0,0
3890,29712,8855,9802,6682,1670,267,70,16,2,1,0,0
3900,29749,8828,9785,6647,1703,287,60,14,3,1,0,0
3910,29757,8853,9716,6695,1680,294,61,17,4,0,0,0
3920,29751,8875,9754,6603,1688,322,69,12,2,1,0,0
3930,29742,8910,9726,6616,1666,321,77,16,3,0,0,0
3940,29836,8761,9717,6668,1706,299,72,17,1,0,0,0
3950,29770,8822,9749,6697,1623,337,64,15,0,0,0,0
3960,29844,8784,9665,6671,1708,326,66,12,1,0,0,0
3970,29858,8709,9757,6665,1680,320,79,7,2,0,0,0
3980,29804,8788,9765,6624,1699,304,81,11,1,0,0,0
3990,29810,8782,9713,6690,1712,284,74,10,1,1,0,0
4000,29883,8722,9691,6643,1730,335,62,11,0,0,0,0
4010,29825,8802,9702,6627,1719,319,66,15,1,0,1,0
4020,29815,8768,9781,6623,1676,328,68,18,0,0,0,0
4030,29950,8613,9767,6606,1696,358,74,11,1,1,0,0
4040,29896,8656,9762,6681,1671,311,86,13,1,0,0,0
4050,29853,8743,9723,6654,1693,324,78,6,3,0,0,0
4060,29878,8697,9751,6642,1708,302,86,10,3,0,0,0
4070,29942,8565,9803,6646,1741,291,75,13,1,0,0,0
4080,29850,8704,9804,6639,1664,325,74,14,2,1,0,0
4090,29824,8811,9683,6654,1704,307,72,21,1,0,0,0
4100,29825,8780,9714,6664,1700,304,76,12,1,1,0,0
4110,29882,8702,9744,6608,1745,312,70,11,1,2,0,0
4120,29891,8705,9719,6615,1754,303,75,12,3,0,0,0
4130,29875,8713,9749,6612,1722,318,66,21,0,1,0,0
4140,29905,8705,9661,6688,1715,312,76,11,3,1,0,0
4150,29782,8815,9824,6506,1761,308,60,19,0,1,1,0
4160,29860,8811,9672,6548,1772,322,68,20,4,0,0,0
