iteration,0,1,2,3,4,5,6
5170,1988,6188,1666,152,6,0,0
5180,1982,6206,1655,144,13,0,0
5190,1995,6177,1676,137,15,0,0
5200,1977,6215,1647,154,6,1,0
5210,1966,6242,1631,150,9,2,0
5220,1990,6205,1634,157,14,0,0
5230,1993,6193,1644,161,9,0,0
5240,1968,6242,1621,160,9,0,0
5250,1984,6206,1648,151,10,1,0
5260,1974,6231,1625,162,7,1,0
5270,1935,6290,1624,143,7,1,0
5280,1944,6269,1637,144,5,1,0
5290,1974,6235,1617,165,9,0,0
5300,1974,6222,1642,154,8,0,0
5310,1996,6178,1663,156,7,0,0
5320,2011,6161,1652,169,7,0,0
5330,1987,6197,1656,150,9,1,0
5340,2015,6146,1672,158,9,0,0
5350,2001,6175,1660,151,13,0,0
5360,2016,6148,1666,160,10,0,0
5370,2015,6145,1678,151,9,2,0
5380,2004,6173,1656,154,12,1,0
5390,1997,6188,1643,162,10,0,0
5400,1979,6204,1666,140,11,0,0
5410,2021,6141,1666,161,11,0,0
5420,2030,6118,1690,147,14,1,0
5430,1994,6186,1656,155,8,1,0
5440,1995,6177,1670,149,9,0,0
5450,2016,6129,1704,141,10,0,0
5460,2037,6089,1719,147,8,0,0
5470,2057,6062,1711,164,6,0,0
5480,2047,6089,1692,161,11,0,0
5490,2000,6177,1652,165,6,0,0
5500,2002,6186,1627,180,5,0,0
5510,2000,6196,1618,176,10,0,0
5520,1967,6247,1614,164,7,1,0
5530,1976,6232,1615,170,7,0,0
5540,1992,6195,1639,169,5,0,0
5550,1993,6200,1630,168,9,0,0
5560,1986,6207,1636,163,8,0,0
5570,1997,6191,1635,169,8,0,0
5580,2027,6127,1674,163,9,0,0
5590,2015,6160,1650,160,15,0,0
5600,1989,6195,1650,159,7,0,0
5610,2008,6159,1667,157,9,0,0
5620,1983,6210,1639,160,8,0,0
5630,1988,6190,1667,144,11,0,0
5640,1962,6230,1661,140,7,0,0
5650,1975,6207,1668,143,7,0,0
5660,1963,6245,1632,149,11,0,0
5670,1974,6218,1652,147,8,1,0
5680,1988,6197,1650,157,8,0,0
5690,1985,6196,1660,152,7,0,0
5700,1980,6199,1671,141,9,0,0
5710,1972,6216,1664,136,12,0,0
5720,1987,6187,1675,141,10,0,0
5730,1990,6197,1646,157,10,0,0
5740,2006,6165,1666,150,12,1,0
5750,1988,6199,1648,155,10,0,0
5760,1984,6205,1645,159,7,0,0
5770,1984,6207,1643,157,9,0,0
5780,1967,6230,1647,148,8,0,0
5790,1984,6191,1678,136,10,1,0
5800,2004,6154,1688,146,8,0,0
5810,1986,6178,1695,132,9,0,0
5820,2013,6140,1690,148,9,0,0
5830,1986,6198,1656,152,6,2,0
5840,1979,6209,1654,149,9,0,0
5850,1964,6239,1639,149,9,0,0
5860,2012,6152,1668,160,8,0,0
5870,1970,6225,1647,153,4,0,1
5880,1965,6235,1643,149,8,0,0
5890,1944,6261,1653,135,7,0,0
5900,1953,6258,1636,142,11,0,0
5910,1918,6315,1622,139,6,0,0
5920,1989,6194,1654,154,9,0,0
5930,1967,6233,1641,151,8,0,0
5940,1995,6182,1662,150,11,0,0
5950,1996,6178,1671,140,15,0,0
5960,1980,6199,1673,138,9,1,0
5970,1979,6200,1669,146,6,0,0
5980,1978,6213,1646,157,6,0,0
5990,2022,6116,1709,147,5,1,0
6000,2005,6149,1694,145,7,0,0
6010,1997,6172,1673,150,8,0,0
6020,1968,6219,1662,147,4,0,0
6030,1943,6275,1626,151,5,0,0
6040,1969,6217,1664,145,5,0,0
6050,1976,6210,1657,152,5,0,0
6060,2013,6150,1672,155,9,1,0
6070,2000,6178,1655,156,11,0,0
6080,1989,6191,1657,157,6,0,0
6090,2004,6172,1649,170,5,0,0
6100,2013,6134,1701,144,8,0,0
6110,2003,6157,1686,145,9,0,0
6120,1977,6211,1657,146,8,1,0
6130,2001,6153,1701,136,8,1,0
6140,1983,6185,1690,135,5,2,0
6150,1990,6177,1684,141,8,0,0
6160,1998,6192,1633,166,11,0,0
6170,2025,6131,1673,161,10,0,0
6180,1987,6186,1675,144,8,0,0
6190,1981,6196,1675,138,10,0,0
6200,1975,6206,1670,142,7,0,0
6210,1998,6188,1639,166,9,0,0
6220,2006,6183,1625,178,7,1,0
6230,2000,6187,1633,173,7,0,0
6240,1989,6206,1633,161,10,1,0
6250,1990,6213,1609,183,5,0,0
6260,1986,6204,1642,160,8,0,0
6270,1984,6198,1660,150,8,0,0
6280,1978,6214,1649,148,11,0,0
6290,2002,6161,1681,147,9,0,0
6300,1969,6221,1657,147,6,0,0
6310,1952,6271,1607,165,5,0,0
6320,1944,6269,1634,149,4,0,0
6330,1993,6182,1662,158,5,0,0
6340,2002,6174,1653,164,7,0,0
6350,1975,6227,1632,155,11,0,0
6360,1949,6272,1615,158,6,0,0
6370,1976,6208,1665,142,9,0,0
6380,1966,6228,1656,140,10,0,0
6390,1973,6208,1675,134,10,0,0
6400,1988,6200,1646,157,8,1,0
6410,2005,6156,1686,141,11,1,0
6420,1998,6166,1679,152,5,0,0
6430,1993,6197,1638,161,11,0,0
6440,1983,6203,1656,148,9,1,0
6450,2021,6126,1694,150,9,0,0
