iteration,0,1,2,3,4,5,6,7,8
3570,253418,206635,149805,46948,3064,126,3,1,0
3580,253310,206891,149602,47004,3077,112,3,1,0
3590,253333,206848,149584,47096,3009,122,6,2,0
3600,253286,206769,149877,46941,2989,131,6,1,0
3610,253464,206509,149866,47012,3025,121,3,0,0
3620,253457,206616,149663,47111,3043,107,3,0,0
3630,253318,206748,149898,46817,3097,115,7,0,0
3640,253365,206669,149877,46921,3029,136,3,0,0
3650,253479,206584,149775,46899,3151,108,3,1,0
3660,253414,206666,149772,46933,3085,129,1,0,0
3670,253357,206611,150087,46693,3128,120,4,0,0
3680,253465,206540,149882,46887,3098,125,3,0,0
3690,253210,206851,149924,46890,3001,118,5,1,0
3700,253347,206674,149940,46843,3067,125,4,0,0
3710,253374,206717,149724,47042,3013,123,7,0,0
3720,253250,206959,149732,46795,3134,124,6,0,0
3730,253289,206901,149685,46900,3102,118,4,1,0
3740,253312,206766,149892,46805,3095,125,5,0,0
3750,253650,206320,149797,46975,3133,121,4,0,0
3760,253714,206226,149784,47037,3103,134,1,1,0
3770,253691,206294,149715,47061,3105,131,3,0,0
3780,253426,206785,149542,47010,3089,144,3,1,0
3790,253532,206411,149915,46939,3075,126,2,0,0
3800,253336,206730,149867,46854,3093,118,2,0,0
3810,253242,206857,149850,46888,3041,118,3,1,0
3820,253223,206928,149748,46966,3004,124,7,0,0
3830,253273,206930,149631,46994,3038,130,4,0,0
3840,253174,207157,149501,46974,3058,130,5,1,0
3850,253229,206878,149848,46890,3024,126,5,0,0
3860,253221,206722,150139,46791,3012,111,4,0,0
3870,252997,207211,149845,46821,3001,118,7,0,0
3880,253170,206870,150049,46738,3052,116,5,0,0
3890,253241,206939,149798,46745,3162,108,7,0,0
3900,253355,206729,149819,46878,3099,117,3,0,0
3910,253325,206834,149711,46910,3093,120,7,0,0
3920,253524,206494,149822,46912,3117,128,3,0,0
3930,253489,206508,149865,46926,3084,120,8,0,0
3940,253522,206448,149921,46881,3079,143,6,0,0
3950,253085,207098,149835,46848,2985,146,3,0,0
3960,253424,206536,150020,46807,3070,135,8,0,0
3970,253176,207062,149593,47061,2975,129,4,0,0
3980,253230,206913,149834,46811,3078,130,4,0,0
3990,253360,206593,150042,46856,2997,145,7,0,0
4000,253232,206841,149908,46877,3006,128,8,0,0
4010,253154,206928,150000,46739,3045,129,5,0,0
4020,253509,206484,149862,46919,3099,123,4,0,0
4030,253588,206364,149850,46990,3079,124,5,0,0
4040,253715,206190,149861,46979,3128,123,4,0,0
4050,253849,206067,149754,47047,3136,142,5,0,0
4060,253749,206160,149832,47017,3090,147,5,0,0
4070,253835,206040,149825,47036,3124,135,4,1,0
4080,253826,205929,149981,47100,3016,143,5,0,0
4090,253616,206216,150030,46985,3004,142,6,1,0
4100,253573,206280,150028,46963,3014,134,7,1,0
