iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
1790,1540947726540,406617,-1.303639231e+07,7908,15765,9599,3584,624153,34847,991,9,0
1800,1540947738494,406476,-1.303638145e+07,8067,15790,9578,3278,624308,34680,1003,9,0
1810,1540947749271,406834,-1.303135271e+07,7706,15752,9465,3394,624614,34470,901,15,0
1820,1540947760951,406831,-1.302999781e+07,7887,15303,9512,3391,624858,34201,932,8,1
1830,1540947772278,406588,-1.303279802e+07,7774,15797,9384,3558,624395,34712,878,15,0
1840,1540947783958,406571,-1.303251641e+07,7783,15787,9304,3643,624388,34716,887,9,0
1850,1540947794378,406705,-1.303332925e+07,7947,15661,9446,3368,624590,34411,986,13,0
1860,1540947804747,406654,-1.303581972e+07,8141,15637,9489,3467,624264,34746,982,8,0
1870,1540947815516,406631,-1.303429282e+07,8014,15707,9375,3455,624447,34563,982,8,0
1880,1540947826465,406537,-1.303541086e+07,8054,15709,9365,3573,624290,34734,961,15,0
1890,1540947837366,406394,-1.303928565e+07,8327,15897,9295,3526,623968,35035,981,16,0
1900,1540947849015,406293,-1.304150292e+07,8349,16051,9462,3366,623727,35327,937,9,0
1910,1540947860259,406418,-1.303820621e+07,8262,15854,9332,3415,624101,34947,940,12,0
1920,1540947872273,406503,-1.303380172e+07,7894,15657,9508,3499,624396,34661,932,11,0
1930,1540947883226,406612,-1.303752854e+07,8074,16007,9379,3417,624113,34908,968,11,0
1940,1540947894579,406460,-1.303850627e+07,8199,15773,9504,3501,624031,34974,982,13,0
1950,1540947906254,406462,-1.303512417e+07,8041,15736,9393,3465,624379,34622,984,15,0
1960,1540947918145,406678,-1.303243990e+07,7869,15845,9318,3381,624580,34438,971,11,0
1970,1540947929378,406663,-1.303266690e+07,8107,15534,9209,3466,624677,34348,957,18,0
1980,1540947941105,406662,-1.303136088e+07,7821,15536,9429,3524,624650,34399,942,9,0
1990,1540947952161,406875,-1.303371912e+07,7870,15863,9421,3407,624388,34671,933,8,0
2000,1540947964326,406868,-1.303086187e+07,7586,15861,9450,3421,624651,34390,949,10,0
2010,1540947975998,406772,-1.303241630e+07,7616,15981,9379,3557,624437,34600,956,7,0
2020,1540947987121,406727,-1.303066267e+07,7328,16473,9347,3161,624575,34553,860,12,0
2030,1540947999005,406641,-1.303327706e+07,7416,16325,9321,3665,624273,34738,978,11,0
2040,1540948010602,406707,-1.303483988e+07,7721,16008,9462,3596,624229,34765,996,10,0
2050,1540948022498,406598,-1.303588208e+07,7812,16237,9280,3465,624186,34843,962,9,0
2060,1540948034463,406439,-1.303560365e+07,7842,16280,9179,3412,624264,34766,963,7,0
2070,1540948044877,406594,-1.303602835e+07,7982,16012,9297,3394,624253,34819,918,10,0
2080,1540948057083,406495,-1.303886226e+07,8117,15996,9469,3424,623990,35028,968,14,0
2090,1540948067849,406483,-1.303697161e+07,8155,15808,9337,3539,624105,34960,926,9,0
2100,1540948080968,406402,-1.303876564e+07,8097,16067,9382,3532,623940,35051,1000,9,0
2110,1540948092194,406735,-1.303308303e+07,7848,15632,9500,3530,624411,34678,901,10,0
2120,1540948103829,406667,-1.303158411e+07,7707,15728,9394,3553,624568,34489,936,7,0
2130,1540948114726,406779,-1.303474740e+07,7892,15772,9466,3541,624269,34804,914,13,0
2140,1540948126720,406506,-1.303439677e+07,7907,15644,9534,3574,624275,34800,916,9,0
2150,1540948138114,406595,-1.303474602e+07,7858,15694,9590,3639,624199,34834,954,13,0
2160,1540948149336,406817,-1.303222879e+07,7814,15471,9582,3613,624563,34402,1027,8,0
2170,1540948159625,407096,-1.302375904e+07,7443,15263,9412,3523,625320,33725,949,6,0
2180,1540948171103,407023,-1.302574245e+07,7509,15418,9449,3381,625145,33962,884,9,0
2190,1540948182578,406958,-1.302954608e+07,7856,15452,9388,3324,624924,34143,922,11,0
2200,1540948194722,406684,-1.303395970e+07,8057,15660,9447,3340,624484,34537,970,9,0
2210,1540948206435,406739,-1.303538751e+07,8146,15561,9486,3482,624290,34751,953,6,0
2220,1540948218285,406696,-1.303253978e+07,8258,15224,9373,3381,624748,34275,970,7,0
2230,1540948229495,406802,-1.303130839e+07,8002,15253,9502,3533,624640,34441,908,11,0
2240,1540948240618,406919,-1.303495935e+07,8001,15530,9563,3567,624377,34595,1018,10,0
2250,1540948252124,406944,-1.303465007e+07,8156,15365,9479,3597,624471,34478,1034,17,0
2260,1540948262549,406604,-1.303425773e+07,8083,15367,9552,3532,624459,34559,971,11,0
2270,1540948273722,406726,-1.303449963e+07,8082,15571,9487,3469,624421,34566,996,17,0
2280,1540948285117,406601,-1.303469013e+07,8328,15261,9518,3389,624517,34482,989,12,0
2290,1540948297110,406688,-1.303005924e+07,8378,14807,9410,3311,625057,33985,953,5,0
2300,1540948308881,406436,-1.303773317e+07,8521,15277,9530,3449,624204,34826,959,11,0
2310,1540948320582,406743,-1.303370747e+07,8195,15508,9304,3393,624530,34549,912,9,0
2320,1540948332027,406734,-1.303294413e+07,8036,15478,9379,3515,624497,34610,881,12,0
2330,1540948343656,406561,-1.303314803e+07,8102,15449,9428,3404,624580,34464,949,7,0
2340,1540948354869,406882,-1.302989253e+07,7814,15512,9436,3346,624897,34113,975,15,0
2350,1540948365995,407003,-1.302702973e+07,7472,15542,9493,3428,625028,34016,949,7,0
2360,1540948376867,406847,-1.303113854e+07,7505,15829,9668,3395,624520,34581,881,18,0
2370,1540948388711,406799,-1.303194651e+07,7463,16153,9499,3426,624442,34588,957,13,0
2380,1540948399772,406717,-1.303312734e+07,7519,16071,9564,3440,624394,34628,968,10,0
2390,1540948410738,406346,-1.303713476e+07,7837,16153,9490,3442,624063,34967,955,15,0
2400,1540948422225,406452,-1.303574684e+07,7704,16009,9735,3457,624053,35005,926,16,0
2410,1540948433856,406666,-1.303170328e+07,7448,15981,9707,3387,624454,34580,956,9,1
2420,1540948445395,406552,-1.303185447e+07,7429,15977,9629,3511,624409,34646,935,10,0
2430,1540948457282,406430,-1.303281771e+07,7613,15973,9626,3337,624399,34669,916,16,0
2440,1540948468746,406716,-1.303468328e+07,7789,16016,9401,3452,624345,34660,987,8,0
2450,1540948479584,406679,-1.303255898e+07,7542,15990,9545,3580,624339,34676,974,11,0
2460,1540948491180,406493,-1.303484523e+07,7747,15888,9540,3618,624199,34826,958,17,0
2470,1540948502153,406703,-1.303373048e+07,7808,15825,9466,3504,624346,34716,927,11,0
2480,1540948514048,406673,-1.303237299e+07,7853,15642,9487,3401,624617,34392,982,9,0
2490,1540948525597,406502,-1.303629938e+07,7862,15904,9711,3340,624222,34751,1015,12,0
2500,1540948537809,406854,-1.303116366e+07,7532,15886,9485,3529,624525,34531,931,13,0
2510,1540948549589,407076,-1.302722982e+07,7559,15480,9490,3425,624968,34123,896,13,0
2520,1540948561169,406879,-1.302664294e+07,7533,15576,9423,3344,625025,34082,885,8,0
2530,1540948571789,407040,-1.302514818e+07,7341,15759,9336,3374,625096,34005,892,7,0
2540,1540948582521,407150,-1.302226281e+07,7308,15374,9394,3360,625460,33655,874,11,0
2550,1540948594106,407070,-1.302621210e+07,7397,15587,9561,3298,625090,33988,911,11,0
2560,1540948604832,406998,-1.302779637e+07,7457,15486,9608,3542,624894,34131,963,12,0
2570,1540948615492,406773,-1.303055795e+07,7846,15447,9529,3358,624809,34213,967,11,0
2580,1540948627221,406694,-1.303264270e+07,7848,15687,9494,3410,624477,34613,904,6,0
2590,1540948638099,406798,-1.303184472e+07,7757,15789,9454,3358,624620,34412,958,10,0
2600,1540948649984,406376,-1.303712392e+07,7959,16056,9562,3273,624159,34842,989,10,0
2610,1540948661494,406430,-1.303993486e+07,8212,16080,9477,3355,623864,35156,972,8,0
2620,1540948672822,406668,-1.303273933e+07,7831,15716,9464,3454,624486,34574,929,11,0
2630,1540948684020,406599,-1.303718764e+07,7828,16201,9530,3434,623992,35033,965,10,0
2640,1540948695425,406597,-1.303530237e+07,7918,15780,9627,3386,624291,34721,974,14,0
2650,1540948706839,406406,-1.303950572e+07,7988,16101,9613,3473,623840,35158,989,13,0
2660,1540948718828,406709,-1.303172730e+07,7678,15825,9516,3339,624618,34419,950,13,0
2670,1540948730600,406623,-1.303392349e+07,8023,15675,9414,3385,624431,34650,910,9,0
2680,1540948743043,406766,-1.303256390e+07,8182,15492,9242,3337,624644,34473,869,14,0
2690,1540948754531,406796,-1.302818542e+07,7924,15282,9334,3287,625086,34005,905,4,0
2700,1540948766953,406806,-1.302902576e+07,7883,15408,9336,3321,624997,34069,923,11,0
2710,1540948778139,406653,-1.303752250e+07,8312,15526,9520,3464,624188,34812,990,10,0
2720,1540948789305,406666,-1.303327973e+07,8022,15529,9489,3444,624493,34542,953,12,0
2730,1540948800959,406677,-1.303693217e+07,8469,15333,9401,3506,624250,34805,931,14,0
2740,1540948812939,406579,-1.303815617e+07,8458,15414,9423,3536,624119,34937,938,6,0
2750,1540948824527,406814,-1.303086721e+07,7996,15433,9278,3430,624790,34294,905,11,0
2760,1540948835642,406722,-1.303114695e+07,7907,15404,9485,3425,624773,34248,964,15,0
2770,1540948847429,406758,-1.303236190e+07,8143,15368,9343,3437,624690,34339,961,10,0
2780,1540948859169,406870,-1.303369092e+07,8206,15220,9488,3477,624566,34484,944,5,1
2790,1540948869832,406749,-1.303434095e+07,8111,15368,9536,3580,624479,34459,1050,12,0
2800,1540948882547,406864,-1.303323871e+07,8040,15534,9326,3559,624491,34570,928,11,0
2810,1540948893931,406605,-1.303468648e+07,8293,15342,9543,3213,624581,34464,938,17,0
2820,1540948905211,406535,-1.303851943e+07,8296,15680,9455,3495,624096,34890,1006,8,0
2830,1540948916829,406563,-1.303824135e+07,8318,15664,9502,3343,624168,34848,973,11,0
2840,1540948928324,406666,-1.303180066e+07,7819,15737,9345,3403,624622,34459,912,7,0
2850,1540948939997,406842,-1.302872439e+07,7703,15585,9277,3438,624920,34163,911,6,0
2860,1540948950605,406937,-1.302906870e+07,7733,15636,9281,3340,624973,34072,947,8,0
2870,1540948961727,406767,-1.303162454e+07,7845,15660,9351,3426,624671,34387,931,11,0
2880,1540948974417,406541,-1.303494526e+07,8055,15916,9341,3201,624451,34600,934,15,0
2890,1540948985252,406749,-1.303242848e+07,8073,15537,9265,3400,624670,34397,921,12,0
2900,1540948998406,407033,-1.302772491e+07,7838,15425,9145,3468,625038,34057,896,9,0
2910,1540949009777,406824,-1.303179188e+07,8165,15406,9223,3374,624787,34267,937,9,0
2920,1540949020281,406710,-1.303101298e+07,8011,15523,9238,3394,624784,34275,932,9,0
2930,1540949031934,406673,-1.303459791e+07,8093,15670,9395,3300,624538,34479,970,13,0
2940,1540949043183,406862,-1.303306369e+07,8014,15668,9267,3429,624572,34492,922,14,0
2950,1540949054086,406837,-1.303300686e+07,7829,15831,9356,3500,624479,34531,985,5,0
2960,1540949065867,406732,-1.303230808e+07,7983,15565,9287,3446,624650,34423,923,4,0
