iteration,0,1,2,3,4,5,6
4850,1990,6208,1624,168,10,0,0
4860,2008,6162,1664,154,12,0,0
4870,1989,6190,1666,142,13,0,0
4880,1989,6202,1642,154,13,0,0
4890,1998,6187,1645,157,13,0,0
4900,1988,6192,1665,142,13,0,0
4910,1999,6162,1688,142,9,0,0
4920,2007,6144,1700,140,9,0,0
4930,2006,6152,1688,144,10,0,0
4940,1989,6188,1666,148,9,0,0
4950,1995,6176,1673,146,10,0,0
4960,1963,6233,1656,138,9,1,0
4970,1989,6185,1673,144,8,1,0
4980,1966,6230,1652,142,10,0,0
4990,1956,6250,1640,146,8,0,0
5000,1999,6177,1655,163,6,0,0
5010,2003,6168,1664,156,9,0,0
5020,1994,6178,1671,148,9,0,0
5030,1979,6204,1664,145,7,1,0
5040,2016,6131,1702,139,12,0,0
5050,2020,6120,1709,142,9,0,0
5060,1989,6196,1651,154,10,0,0
5070,2022,6134,1673,164,7,0,0
5080,2021,6123,1698,151,7,0,0
5090,1989,6193,1654,157,7,0,0
5100,2005,6147,1696,147,5,0,0
5110,1994,6185,1656,157,8,0,0
5120,2014,6143,1680,156,6,1,0
5130,1997,6179,1657,161,6,0,0
5140,1975,6214,1659,140,12,0,0
5150,1988,6186,1672,146,8,0,0
5160,2001,6167,1672,151,9,0,0
5170,1988,6189,1673,136,13,1,0
5180,2004,6171,1665,142,17,1,0
5190,2026,6147,1646,164,16,1,0
5200,2029,6122,1676,166,7,0,0
5210,2015,6149,1667,159,10,0,0
5220,2003,6174,1654,159,9,1,0
5230,2009,6148,1684,152,7,0,0
5240,2000,6167,1675,149,9,0,0
5250,2026,6107,1715,145,7,0,0
5260,2022,6115,1717,133,13,0,0
5270,2020,6122,1707,140,11,0,0
5280,1997,6176,1669,146,12,0,0
5290,1986,6199,1651,157,7,0,0
5300,2004,6167,1665,153,11,0,0
5310,1985,6205,1647,151,12,0,0
5320,2007,6171,1646,167,9,0,0
5330,1989,6205,1633,163,10,0,0
5340,1961,6237,1651,143,8,0,0
5350,1985,6205,1647,152,10,1,0
5360,1972,6220,1654,144,10,0,0
5370,1969,6217,1666,141,7,0,0
5380,1939,6276,1640,136,9,0,0
5390,1979,6222,1630,158,11,0,0
5400,1968,6233,1639,152,7,1,0
5410,1964,6244,1629,154,9,0,0
5420,2006,6155,1679,153,7,0,0
5430,2003,6163,1671,158,4,1,0
5440,2012,6153,1667,160,7,1,0
5450,1990,6187,1660,159,4,0,0
5460,1995,6189,1643,167,6,0,0
5470,1972,6208,1681,126,13,0,0
5480,1955,6260,1629,142,14,0,0
5490,1954,6259,1633,141,13,0,0
5500,1989,6189,1665,147,10,0,0
5510,2020,6130,1690,151,8,1,0
5520,1980,6213,1645,151,11,0,0
5530,1999,6171,1671,150,8,1,0
5540,1986,6193,1664,149,8,0,0
5550,1979,6194,1683,136,8,0,0
5560,1974,6227,1638,149,10,2,0
5570,1982,6216,1635,154,13,0,0
5580,1984,6208,1642,158,6,2,0
5590,1975,6207,1673,133,12,0,0
5600,1981,6203,1658,151,7,0,0
5610,1961,6248,1629,154,8,0,0
5620,1956,6259,1620,159,6,0,0
5630,1942,6283,1616,152,6,1,0
5640,1957,6268,1607,155,12,1,0
5650,1975,6220,1641,158,6,0,0
5660,1947,6267,1629,153,4,0,0
5670,1969,6221,1656,149,5,0,0
5680,1969,6241,1619,163,8,0,0
5690,1969,6237,1627,159,8,0,0
5700,1975,6219,1647,149,10,0,0
5710,1979,6221,1633,156,10,1,0
5720,1990,6184,1668,153,4,1,0
5730,1999,6177,1657,160,6,1,0
5740,1991,6177,1682,142,7,1,0
5750,1971,6227,1639,157,6,0,0
5760,1960,6231,1662,144,2,1,0
5770,1984,6199,1652,163,2,0,0
5780,2001,6170,1662,162,5,0,0
5790,1973,6220,1647,154,6,0,0
5800,1969,6242,1619,160,10,0,0
5810,1987,6214,1620,171,7,1,0
5820,2011,6161,1656,161,11,0,0
5830,2008,6163,1658,163,8,0,0
5840,2015,6153,1659,163,10,0,0
5850,2018,6136,1683,154,9,0,0
5860,2030,6115,1692,152,10,1,0
5870,1996,6174,1672,150,8,0,0
5880,1984,6194,1666,150,6,0,0
5890,1986,6199,1657,146,11,1,0
5900,2028,6124,1676,164,8,0,0
5910,1990,6192,1658,148,12,0,0
5920,1964,6239,1636,155,6,0,0
5930,1991,6186,1660,158,5,0,0
5940,1997,6168,1678,152,5,0,0
5950,2017,6146,1665,164,8,0,0
5960,1989,6191,1658,155,7,0,0
5970,2011,6160,1658,160,11,0,0
5980,2003,6167,1669,150,10,1,0
5990,2014,6144,1677,158,7,0,0
6000,2024,6136,1667,162,11,0,0
6010,2008,6148,1691,142,11,0,0
6020,1998,6178,1662,150,12,0,0
6030,1986,6188,1675,143,7,1,0
6040,1975,6212,1664,136,13,0,0
6050,2020,6126,1699,144,11,0,0
6060,2005,6155,1685,145,10,0,0
6070,1963,6224,1669,138,6,0,0
6080,1969,6218,1665,140,8,0,0
6090,1968,6228,1646,152,6,0,0
6100,1971,6211,1668,147,3,0,0
6110,1939,6269,1653,132,6,1,0
6120,1958,6223,1689,121,9,0,0
6130,1965,6221,1668,141,5,0,0
6140,1957,6258,1624,150,11,0,0
6150,1975,6221,1642,153,9,0,0
6160,1982,6192,1684,128,14,0,0
6170,1978,6215,1646,151,10,0,0
6180,1974,6225,1637,156,7,1,0
6190,2002,6161,1678,153,6,0,0
6200,2013,6148,1674,156,9,0,0
6210,1997,6173,1671,151,8,0,0
6220,1947,6261,1644,141,7,0,0
6230,1953,6259,1631,149,8,0,0
6240,1962,6246,1630,154,8,0,0
6250,1995,6191,1644,159,11,0,0
6260,1973,6226,1642,146,13,0,0
6270,1987,6200,1647,158,8,0,0
6280,1998,6172,1673,147,9,1,0
6290,1995,6181,1661,155,8,0,0
6300,1982,6197,1669,143,9,0,0
6310,1946,6261,1643,147,3,0,0
6320,1955,6248,1643,150,4,0,0
6330,1968,6234,1633,160,5,0,0
6340,1974,6220,1640,164,2,0,0
6350,2015,6149,1667,159,10,0,0
6360,2018,6139,1676,159,8,0,0
6370,2040,6114,1663,174,7,2,0
6380,2037,6119,1663,170,10,1,0
6390,2024,6129,1679,159,9,0,0
6400,2021,6129,1690,149,11,0,0
6410,2033,6102,1704,154,7,0,0
6420,2042,6093,1699,156,9,1,0
6430,2004,6164,1664,164,4,0,0
6440,2007,6159,1666,163,5,0,0
6450,1984,6194,1671,140,11,0,0
6460,1985,6193,1666,149,7,0,0
6470,1959,6236,1655,146,4,0,0
6480,1957,6254,1628,155,5,1,0
6490,1978,6224,1626,164,8,0,0
6500,2000,6176,1654,164,6,0,0
6510,1990,6204,1636,156,14,0,0
6520,1966,6252,1604,172,6,0,0
6530,1987,6220,1615,162,16,0,0
6540,2009,6158,1665,161,6,1,0
6550,1971,6228,1638,157,5,1,0
6560,1950,6259,1639,145,7,0,0
6570,1977,6211,1656,148,7,1,0
6580,2000,6163,1678,155,4,0,0
6590,1996,6184,1652,160,8,0,0
6600,1994,6187,1649,165,5,0,0
6610,1982,6206,1652,151,8,1,0
6620,1986,6190,1669,148,7,0,0
6630,1946,6265,1640,141,8,0,0
6640,1930,6292,1638,128,12,0,0
6650,1937,6308,1587,154,14,0,0
6660,1946,6268,1637,138,11,0,0
6670,1946,6273,1629,139,13,0,0
6680,1979,6215,1642,156,7,1,0
6690,1987,6193,1659,156,4,1,0
6700,2001,6172,1662,157,7,1,0
6710,1973,6214,1663,142,6,2,0
6720,1945,6266,1641,141,6,1,0
6730,1973,6227,1635,157,8,0,0
6740,1949,6257,1646,141,7,0,0
6750,1946,6268,1634,145,6,1,0
6760,1968,6224,1656,145,6,1,0
6770,2000,6164,1678,152,6,0,0
6780,1971,6226,1640,158,5,0,0
6790,1980,6220,1624,172,4,0,0
6800,1990,6193,1651,159,7,0,0
6810,1984,6201,1653,156,5,1,0
6820,1971,6223,1647,153,6,0,0
6830,1975,6214,1653,152,6,0,0
6840,1972,6217,1657,147,7,0,0
6850,1967,6238,1631,157,6,1,0
6860,1979,6228,1618,166,7,2,0
6870,1936,6289,1620,149,6,0,0
6880,1946,6254,1659,136,5,0,0
