iteration,0,1,2,3,4,5,6,7,8
4640,253282,206824,149817,46903,3046,120,7,1,0
4650,253480,206522,149794,47073,2990,135,6,0,0
4660,253262,206870,149723,47030,2987,122,6,0,0
4670,253163,206959,149830,46943,2980,119,5,1,0
4680,252950,207325,149745,46880,2959,137,4,0,0
4690,253108,206942,149999,46877,2947,122,4,1,0
4700,253163,206876,150014,46832,2982,126,7,0,0
4710,253129,207010,149946,46700,3081,130,4,0,0
4720,253176,206952,149788,46988,2977,114,5,0,0
4730,253214,206808,149993,46874,2976,131,3,1,0
4740,253346,206641,149917,46987,2985,120,4,0,0
4750,253027,207307,149496,47101,2951,114,4,0,0
4760,253209,206889,149810,47017,2941,129,4,1,0
4770,253143,206982,149806,47005,2933,127,4,0,0
4780,253054,207169,149715,46973,2965,122,2,0,0
4790,253139,206912,150024,46777,3034,111,3,0,0
4800,253006,207317,149569,47013,2973,118,4,0,0
4810,253120,207073,149750,46930,3004,117,6,0,0
4820,253234,206870,149829,46924,3021,116,6,0,0
4830,253089,207208,149584,46986,3004,124,5,0,0
4840,253063,207119,149819,46876,3004,115,4,0,0
4850,253208,206901,149874,46855,3027,132,3,0,0
4860,253110,207032,149891,46827,3000,135,5,0,0
4870,253194,206921,149843,46895,3029,116,2,0,0
4880,253006,207167,149840,46928,2932,121,6,0,0
4890,253020,207085,150001,46797,2970,120,7,0,0
4900,253119,206926,149964,46950,2915,120,6,0,0
4910,253213,206867,149820,47035,2944,114,7,0,0
4920,252823,207492,149760,46863,2916,141,5,0,0
4930,253200,206935,149796,46934,3009,121,5,0,0
4940,253215,206907,149843,46853,3067,110,5,0,0
4950,253103,206948,149983,46883,2983,95,5,0,0
4960,253270,206841,149799,46933,3026,128,3,0,0
4970,253326,206653,149916,47034,2946,121,4,0,0
4980,253246,206864,149832,46907,3009,137,5,0,0
4990,253057,207196,149730,46858,3030,124,5,0,0
5000,252995,207296,149728,46797,3066,115,3,0,0
5010,253485,206538,149796,46988,3066,120,7,0,0
5020,253585,206391,149836,46947,3116,118,7,0,0
5030,253218,206965,149747,46881,3054,128,7,0,0
5040,253394,206641,149811,47003,3032,114,5,0,0
5050,253532,206462,149813,47002,3054,132,5,0,0
5060,253492,206575,149678,47087,3036,128,4,0,0
5070,253479,206536,149890,46843,3111,135,6,0,0
5080,253564,206391,149862,46984,3065,131,3,0,0
5090,253306,206780,149778,46996,3028,108,4,0,0
5100,253220,207034,149528,47100,2984,130,4,0,0
5110,253194,206949,149775,46980,2957,137,8,0,0
5120,253356,206721,149784,46983,3023,128,5,0,0
5130,253209,207011,149643,46997,2997,134,9,0,0
5140,253324,206893,149559,47051,3036,130,7,0,0
5150,253460,206506,149923,46913,3088,103,7,0,0
5160,253437,206703,149648,46971,3124,110,7,0,0
5170,253338,206818,149638,47047,3037,116,5,1,0
5180,253491,206563,149739,47000,3079,125,3,0,0
5190,253598,206290,149988,46894,3100,128,2,0,0
5200,253321,206721,149929,46820,3088,118,2,1,0
5210,253328,206746,149819,46947,3032,122,5,1,0
5220,253306,206794,149728,47063,2992,110,6,1,0
5230,253182,206997,149729,46950,3024,109,9,0,0
5240,253214,207002,149663,46945,3053,117,3,2,1
5250,253260,206837,149834,46913,3031,119,5,1,0
5260,253281,206872,149786,46833,3088,135,5,0,0
5270,253007,207239,149771,46844,3011,125,3,0,0
5280,252934,207323,149704,47003,2923,110,3,0,0
5290,253102,207012,149866,46954,2941,120,5,0,0
5300,253368,206730,149739,47005,3019,133,6,0,0
5310,253306,206832,149671,47083,2970,132,5,1,0
5320,253458,206654,149698,46961,3082,144,2,1,0
5330,253347,206654,149907,46980,2975,131,5,1,0
5340,253432,206560,149908,46895,3095,103,5,2,0
5350,253315,206653,150098,46729,3068,130,7,0,0
5360,253281,206672,150057,46888,2963,136,3,0,0
5370,253540,206422,149859,46977,3086,111,5,0,0
5380,253646,206232,149960,46922,3122,114,4,0,0
