iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
1700,1545620837398,406726,-1.303077198e+07,7478,16182,9253,3434,624613,34440,934,13,0
1710,1545620848474,406548,-1.303367355e+07,7803,16007,9275,3475,624404,34646,936,14,0
1720,1545620860558,406724,-1.303272652e+07,7647,16105,9314,3435,624417,34675,898,10,0
1730,1545620872389,406732,-1.303452745e+07,7787,15803,9503,3623,624310,34675,1004,11,0
1740,1545620884068,406632,-1.303543598e+07,8022,15790,9453,3373,624323,34729,935,13,0
1750,1545620895400,406546,-1.303566935e+07,7833,15936,9619,3394,624211,34805,975,9,0
1760,1545620906739,406902,-1.303124903e+07,7644,15608,9643,3528,624576,34439,971,14,0
1770,1545620918912,406814,-1.303046143e+07,7544,15760,9612,3439,624594,34470,923,13,0
1780,1545620930416,406449,-1.303731289e+07,8115,15720,9596,3512,624070,34927,993,10,0
1790,1545620942429,406332,-1.303919668e+07,7995,16105,9593,3401,623947,35029,1007,17,0
1800,1545620954866,406567,-1.303654818e+07,7969,15890,9555,3400,624177,34844,967,12,0
1810,1545620967088,406507,-1.303424121e+07,7895,15747,9561,3392,624321,34767,908,4,0
1820,1545620978415,406879,-1.302634997e+07,7439,15367,9539,3570,625073,33953,960,14,0
1830,1545620989523,406958,-1.302840820e+07,7474,15519,9599,3610,624687,34434,869,10,0
1840,1545621001818,407013,-1.303169789e+07,7685,15522,9665,3613,624585,34358,1044,13,0
1850,1545621013443,406798,-1.302892950e+07,7633,15440,9607,3475,624801,34249,944,6,0
1860,1545621025450,406856,-1.303093934e+07,7681,15572,9639,3483,624568,34502,917,13,0
1870,1545621037264,406664,-1.303497030e+07,7857,15849,9606,3433,624248,34766,979,7,0
1880,1545621048459,406685,-1.303483703e+07,7856,15703,9588,3607,624240,34778,970,12,0
1890,1545621060238,406494,-1.303694870e+07,8143,15629,9655,3438,624070,35007,911,12,0
1900,1545621072345,406507,-1.303796126e+07,8061,15779,9607,3565,623999,34997,997,7,0
1910,1545621084619,406570,-1.303620881e+07,7852,15710,9792,3520,624142,34855,990,13,0
1920,1545621096749,406740,-1.303026049e+07,7624,15495,9698,3451,624695,34355,937,13,0
1930,1545621108689,406643,-1.303319046e+07,7677,15757,9814,3381,624305,34769,918,8,0
1940,1545621120688,406656,-1.303723616e+07,7920,15820,9695,3527,624060,34929,1000,11,0
1950,1545621132527,406390,-1.303718442e+07,7897,15980,9604,3426,624066,34974,947,13,0
1960,1545621144422,406541,-1.303395374e+07,7751,15896,9584,3363,624330,34757,902,11,0
1970,1545621156232,406619,-1.303406797e+07,7868,15651,9709,3356,624404,34622,960,14,0
1980,1545621167439,406776,-1.303109030e+07,7631,15581,9619,3515,624618,34428,944,10,0
1990,1545621178588,407011,-1.302772564e+07,7534,15547,9588,3348,624902,34188,901,9,0
2000,1545621191239,406799,-1.302919022e+07,7785,15301,9618,3381,624826,34269,899,6,0
2010,1545621203405,406804,-1.303329137e+07,7940,15494,9603,3446,624535,34456,1000,9,0
2020,1545621214676,406892,-1.303126333e+07,7641,15706,9629,3375,624569,34523,896,12,0
2030,1545621225869,406677,-1.303263071e+07,7667,15883,9524,3395,624508,34528,951,13,0
2040,1545621237993,406677,-1.303319613e+07,7551,15863,9815,3420,624376,34608,1007,9,0
2050,1545621249161,406525,-1.303780934e+07,8026,15827,9680,3403,624007,35059,925,9,0
