iteration,0,1,2,3,4,5,6,7,8,9,10
2130,29867,8744,9667,6692,1723,298,67,14,4,1,0
2140,29887,8726,9682,6646,1734,323,57,20,2,0,0
2150,29915,8767,9572,6635,1788,312,71,13,4,0,0
2160,29907,8699,9707,6639,1690,343,73,18,1,0,0
2170,29960,8678,9677,6540,1787,351,68,14,2,0,0
2180,29851,8735,9730,6658,1700,325,64,13,1,0,0
2190,29924,8648,9714,6661,1730,317,69,13,1,0,0
2200,29812,8810,9688,6697,1652,331,73,13,1,0,0
2210,29962,8676,9655,6597,1762,322,80,22,1,0,0
2220,29891,8808,9580,6635,1743,316,82,16,6,0,0
2230,29873,8722,9739,6621,1718,307,75,20,1,1,0
2240,29947,8642,9683,6642,1762,325,66,8,1,0,1
2250,29945,8618,9736,6637,1726,331,71,13,0,0,0
2260,29876,8682,9769,6645,1701,318,75,10,1,0,0
2270,29887,8702,9711,6641,1731,334,62,8,1,0,0
2280,29955,8641,9721,6567,1762,353,66,12,0,0,0
2290,29907,8714,9727,6533,1770,339,75,11,1,0,0
2300,29911,8734,9630,6621,1782,319,65,13,2,0,0
2310,30038,8607,9633,6537,1826,344,78,11,3,0,0
2320,29890,8695,9758,6582,1734,336,73,6,3,0,0
2330,29913,8713,9671,6587,1790,333,56,12,2,0,0
2340,29802,8794,9799,6542,1741,319,63,14,3,0,0
2350,29874,8811,9587,6636,1756,335,64,11,3,0,0
2360,29887,8820,9612,6521,1828,320,68,18,3,0,0
2370,29906,8772,9591,6619,1799,293,79,13,5,0,0
2380,29898,8773,9601,6612,1790,325,69,7,0,2,0
2390,29886,8748,9633,6675,1736,319,64,14,1,1,0
2400,29970,8624,9670,6661,1739,326,68,16,3,0,0
2410,29939,8682,9682,6599,1757,323,77,15,3,0,0
2420,29913,8722,9644,6619,1788,307,68,14,1,1,0
2430,29796,8803,9736,6638,1732,289,67,15,1,0,0
2440,29962,8605,9681,6744,1658,336,74,14,3,0,0
2450,29890,8764,9653,6625,1702,358,65,17,2,1,0
2460,29904,8730,9686,6597,1730,341,69,16,3,1,0
2470,29915,8659,9763,6600,1713,340,72,13,1,1,0
2480,30012,8605,9658,6595,1768,353,69,16,1,0,0
2490,29998,8661,9608,6581,1802,337,69,19,1,1,0
2500,30028,8636,9540,6659,1780,356,64,12,2,0,0
2510,29954,8703,9575,6679,1749,332,70,11,2,2,0
2520,29900,8776,9568,6678,1754,310,74,15,2,0,0
2530,29958,8696,9642,6573,1767,358,64,16,3,0,0
2540,30059,8570,9593,6610,1849,301,80,12,2,0,1
2550,29964,8656,9652,6638,1745,334,67,17,4,0,0
2560,29868,8738,9666,6724,1663,337,70,10,1,0,0
2570,29928,8558,9860,6618,1722,311,60,18,2,0,0
2580,29923,8669,9740,6602,1693,368,68,10,4,0,0
2590,29865,8769,9627,6708,1702,332,64,5,3,1,1
2600,29880,8700,9717,6676,1715,307,61,15,5,1,0
2610,29937,8679,9632,6701,1709,335,71,10,3,0,0
2620,29961,8599,9691,6693,1739,322,56,13,3,0,0
2630,29940,8628,9679,6744,1673,326,74,11,2,0,0
2640,29796,8787,9777,6620,1705,315,59,17,1,0,0
2650,29806,8809,9747,6588,1723,323,66,13,2,0,0
2660,29902,8673,9718,6666,1729,305,64,16,3,1,0
2670,29909,8682,9655,6715,1733,314,51,14,3,0,1
2680,29985,8574,9702,6675,1736,320,68,14,3,0,0
2690,29925,8691,9731,6570,1702,366,74,12,6,0,0
2700,29828,8774,9727,6672,1649,345,67,10,5,0,0
2710,29833,8752,9746,6655,1696,308,71,11,4,1,0
2720,29872,8676,9808,6607,1725,297,73,12,6,1,0
2730,29829,8818,9745,6535,1699,361,71,15,4,0,0
2740,29836,8736,9834,6514,1756,317,70,10,4,0,0
2750,29824,8793,9754,6573,1713,337,65,14,4,0,0
2760,29874,8735,9771,6502,1786,323,70,13,3,0,0
2770,29837,8789,9684,6635,1744,309,62,14,3,0,0
2780,29820,8775,9749,6610,1748,289,70,12,3,1,0
2790,29942,8650,9703,6624,1745,327,72,10,4,0,0
2800,29987,8606,9673,6617,1790,325,67,9,3,0,0
2810,29997,8621,9607,6667,1793,301,76,12,3,0,0
2820,30017,8592,9661,6576,1818,332,69,7,5,0,0
2830,29926,8674,9766,6518,1763,340,72,13,3,2,0
2840,29851,8755,9728,6639,1686,324,78,12,3,1,0
2850,29889,8724,9658,6679,1729,325,59,10,2,1,1
2860,29897,8684,9729,6643,1725,316,61,16,6,0,0
2870,29879,8682,9745,6653,1748,293,55,18,3,1,0
2880,29874,8724,9710,6645,1725,314,69,14,2,0,0
2890,29902,8660,9769,6632,1694,333,71,12,4,0,0
2900,29952,8590,9749,6664,1706,343,55,16,2,0,0
