iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-SEX,aggDist-DOB_DAY,aggDist-DOB_MONTH,aggDist-DOB_YEAR,aggDist-STATE,aggDist-REGOFF,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1380,1545051433253,27827,-1.008318375e+06,1015,3550,4456,3236,69,73,45847,10099,1093,38,0,0,0
1390,1545051434569,27816,-1.008372452e+06,1045,3528,4398,3269,67,74,45879,10066,1081,51,0,0,0
1400,1545051436381,27782,-1.008020431e+06,998,3516,4431,3286,67,66,45856,10109,1081,31,0,0,0
1410,1545051437794,27787,-1.008892885e+06,958,3532,4438,3301,73,80,45820,10155,1079,23,0,0,0
1420,1545051439252,27700,-1.009218801e+06,985,3572,4472,3338,68,73,45765,10163,1104,43,2,0,0
1430,1545051440722,27748,-1.008841078e+06,976,3549,4515,3336,67,67,45726,10233,1078,39,1,0,0
1440,1545051442128,27631,-1.009369008e+06,963,3593,4487,3350,65,61,45728,10217,1095,36,1,0,0
1450,1545051443461,27665,-1.009189540e+06,994,3581,4487,3369,62,65,45722,10200,1108,46,1,0,0
1460,1545051445040,27691,-1.009728215e+06,1001,3563,4528,3356,77,75,45685,10232,1113,46,1,0,0
1470,1545051446369,27737,-1.009892056e+06,999,3618,4554,3372,64,73,45643,10236,1150,48,0,0,0
1480,1545051447848,27716,-1.009484549e+06,1021,3583,4506,3390,84,61,45666,10217,1154,40,0,0,0
1490,1545051449190,27720,-1.009765343e+06,982,3572,4532,3373,80,68,45734,10124,1175,43,1,0,0
1500,1545051451071,27717,-1.009369829e+06,960,3566,4525,3375,69,63,45764,10117,1147,49,0,0,0
1510,1545051452462,27653,-1.009301482e+06,905,3597,4561,3351,82,66,45721,10189,1128,39,0,0,0
1520,1545051453942,27638,-1.009079238e+06,923,3559,4539,3362,68,63,45774,10134,1127,42,0,0,0
1530,1545051455490,27725,-1.009215114e+06,937,3501,4508,3412,59,61,45800,10112,1129,36,0,0,0
1540,1545051456956,27668,-1.009419233e+06,1034,3443,4533,3428,63,77,45710,10192,1140,34,1,0,0
1550,1545051458286,27785,-1.009384234e+06,921,3507,4592,3401,71,67,45699,10236,1103,39,0,0,0
1560,1545051459815,27781,-1.008213287e+06,851,3403,4558,3432,64,69,45875,10070,1089,43,0,0,0
1570,1545051461169,27695,-1.009468168e+06,886,3398,4598,3475,58,69,45800,10117,1113,47,0,0,0
1580,1545051462616,27694,-1.009349121e+06,862,3430,4599,3486,52,77,45767,10162,1100,48,0,0,0
1590,1545051463978,27751,-1.010071296e+06,891,3459,4594,3508,70,73,45716,10182,1125,53,1,0,0
1600,1545051465720,27717,-1.009392576e+06,866,3401,4577,3497,69,63,45784,10151,1104,38,0,0,0
1610,1545051467054,27690,-1.009185707e+06,895,3404,4567,3462,60,59,45835,10079,1122,40,1,0,0
1620,1545051468588,27660,-1.008870355e+06,839,3373,4598,3464,50,66,45883,10033,1126,35,0,0,0
