iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
3120,29856,8665,9870,6573,1723,294,82,13,1,0,0,0,0
3130,29912,8688,9719,6603,1748,310,81,14,2,0,0,0,0
3140,29865,8711,9799,6576,1701,332,79,10,4,0,0,0,0
3150,29846,8729,9779,6645,1652,330,78,15,3,0,0,0,0
3160,29908,8668,9748,6624,1715,327,66,18,3,0,0,0,0
3170,29864,8710,9775,6611,1708,319,76,11,3,0,0,0,0
3180,29852,8730,9749,6631,1712,323,69,9,2,0,0,0,0
3190,29868,8662,9808,6636,1711,323,55,10,4,0,0,0,0
3200,29872,8652,9855,6592,1688,334,73,9,2,0,0,0,0
3210,29868,8638,9873,6595,1708,315,63,13,4,0,0,0,0
3220,29826,8705,9861,6622,1635,347,61,17,3,0,0,0,0
3230,29844,8726,9800,6610,1666,348,67,13,3,0,0,0,0
3240,29828,8731,9810,6616,1675,340,63,12,2,0,0,0,0
3250,29845,8669,9858,6639,1668,305,78,11,3,1,0,0,0
3260,29905,8648,9791,6647,1654,328,81,20,3,0,0,0,0
3270,29855,8632,9892,6625,1683,309,61,17,3,0,0,0,0
3280,29820,8696,9869,6628,1666,316,65,11,6,0,0,0,0
3290,29817,8725,9832,6648,1643,325,66,17,4,0,0,0,0
3300,29901,8652,9761,6662,1695,318,72,13,3,0,0,0,0
3310,29850,8732,9748,6651,1686,325,72,9,4,0,0,0,0
3320,29871,8643,9834,6658,1671,314,69,12,5,0,0,0,0
3330,29827,8679,9906,6572,1696,318,62,13,3,1,0,0,0
3340,29818,8727,9787,6717,1626,310,77,12,2,1,0,0,0
3350,29855,8726,9748,6627,1727,317,63,9,5,0,0,0,0
3360,29875,8630,9874,6612,1666,337,69,12,2,0,0,0,0
3370,29799,8698,9910,6631,1637,316,69,13,3,1,0,0,0
3380,29796,8727,9858,6650,1655,301,73,15,2,0,0,0,0
3390,29804,8706,9903,6578,1709,287,73,14,3,0,0,0,0
3400,29828,8686,9833,6672,1676,305,61,14,2,0,0,0,0
3410,29830,8736,9794,6616,1705,309,71,14,2,0,0,0,0
3420,29843,8660,9886,6594,1701,317,60,14,2,0,0,0,0
3430,29785,8723,9893,6606,1698,295,59,15,3,0,0,0,0
3440,29838,8660,9930,6527,1723,330,54,11,3,1,0,0,0
3450,29784,8781,9797,6663,1659,305,68,16,4,0,0,0,0
3460,29802,8721,9913,6543,1705,303,70,15,4,1,0,0,0
3470,29846,8700,9832,6611,1678,318,71,18,1,2,0,0,0
3480,29838,8682,9846,6640,1675,314,66,12,3,1,0,0,0
3490,29879,8666,9803,6614,1725,302,66,19,3,0,0,0,0
3500,29806,8751,9838,6591,1674,335,69,12,1,0,0,0,0
3510,29868,8640,9869,6610,1688,313,74,13,1,1,0,0,0
3520,29845,8619,9937,6620,1651,325,66,13,1,0,0,0,0
3530,29813,8694,9865,6663,1650,302,77,12,1,0,0,0,0
3540,29826,8706,9872,6589,1683,303,77,17,4,0,0,0,0
3550,29899,8644,9794,6640,1682,332,68,16,1,1,0,0,0
3560,29858,8621,9891,6661,1655,299,71,18,3,0,0,0,0
3570,29936,8515,9886,6686,1657,299,79,17,2,0,0,0,0
3580,29907,8614,9781,6705,1670,312,73,13,1,1,0,0,0
3590,29859,8666,9818,6657,1690,303,64,15,5,0,0,0,0
3600,29865,8630,9880,6618,1680,327,62,14,1,0,0,0,0
3610,29913,8632,9778,6633,1713,329,64,11,4,0,0,0,0
3620,29922,8605,9804,6632,1707,326,65,11,3,1,1,0,0
3630,29999,8558,9694,6683,1749,307,65,17,3,2,0,0,0
3640,29978,8608,9709,6590,1796,304,74,12,5,1,0,0,0
3650,29965,8544,9775,6699,1699,303,74,14,3,1,0,0,0
3660,29983,8566,9681,6738,1714,310,69,13,3,0,0,0,0
3670,29991,8516,9766,6696,1697,333,61,14,3,0,0,0,0
3680,30044,8447,9762,6690,1738,317,61,12,5,1,0,0,0
3690,30008,8462,9843,6659,1687,328,71,15,3,1,0,0,0
3700,29913,8614,9803,6639,1709,308,75,14,2,0,0,0,0
3710,29972,8566,9777,6633,1709,327,70,17,6,0,0,0,0
3720,30027,8511,9769,6624,1703,341,82,14,5,1,0,0,0
3730,29990,8508,9843,6598,1724,313,85,10,6,0,0,0,0
3740,29964,8557,9805,6597,1758,305,79,8,4,0,0,0,0
3750,29915,8616,9794,6662,1687,304,80,15,2,2,0,0,0
3760,29974,8630,9637,6690,1742,312,72,17,3,0,0,0,0
3770,29972,8616,9647,6704,1733,327,62,12,4,0,0,0,0
3780,29946,8615,9703,6687,1729,317,68,10,2,0,0,0,0
3790,29896,8612,9794,6703,1692,296,70,12,2,0,0,0,0
3800,29902,8667,9729,6690,1672,332,66,14,5,0,0,0,0
3810,29876,8712,9694,6710,1672,334,66,11,2,0,0,0,0
3820,29874,8697,9713,6721,1665,325,70,10,2,0,0,0,0
3830,29876,8706,9706,6683,1717,314,54,20,1,0,0,0,0
3840,29880,8705,9757,6620,1695,329,70,17,2,2,0,0,0
3850,29960,8629,9669,6696,1696,348,61,13,4,1,0,0,0
3860,29899,8775,9591,6670,1709,348,68,10,7,0,0,0,0
3870,29953,8644,9660,6708,1685,337,74,9,6,1,0,0,0
3880,29941,8665,9651,6698,1711,318,74,14,5,0,0,0,0
3890,29955,8617,9725,6639,1716,338,75,7,5,0,0,0,0
3900,29965,8599,9730,6621,1752,328,70,9,3,0,0,0,0
3910,29943,8626,9750,6586,1765,326,67,11,3,0,0,0,0
3920,29949,8586,9792,6625,1711,324,70,12,8,0,0,0,0
3930,29943,8564,9797,6656,1731,309,61,12,4,0,0,0,0
3940,29928,8610,9725,6733,1694,306,61,15,4,1,0,0,0
3950,29901,8716,9680,6656,1698,342,61,19,4,0,0,0,0
3960,29875,8726,9742,6582,1735,342,58,13,4,0,0,0,0
3970,29922,8641,9747,6643,1726,301,80,12,5,0,0,0,0
3980,29962,8570,9705,6781,1651,319,72,13,4,0,0,0,0
3990,29966,8606,9701,6657,1744,311,80,9,3,0,0,0,0
4000,29922,8681,9693,6640,1733,310,83,11,3,1,0,0,0
4010,29918,8660,9726,6642,1733,306,74,12,5,1,0,0,0
4020,29960,8624,9684,6663,1751,300,77,14,4,0,0,0,0
4030,29940,8567,9792,6720,1655,299,84,13,7,0,0,0,0
4040,29937,8598,9752,6679,1723,307,62,14,4,1,0,0,0
4050,29952,8632,9702,6621,1776,317,57,14,5,1,0,0,0
4060,29927,8628,9737,6660,1738,299,74,9,4,1,0,0,0
4070,29927,8629,9753,6639,1721,324,73,6,4,1,0,0,0
4080,29930,8590,9761,6705,1705,305,68,8,4,1,0,0,0
4090,29912,8654,9709,6698,1716,304,69,8,6,1,0,0,0
4100,29872,8721,9643,6773,1692,292,69,12,2,1,0,0,0
4110,29945,8609,9690,6743,1694,319,58,13,5,1,0,0,0
4120,29972,8603,9633,6787,1661,344,63,8,5,1,0,0,0
