iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1180,1545176729750,309501,-1.821321872e+07,3023,1168,244490,9260,73161,44431,146183,233564,63297,4985,105,0,0
1190,1545176745798,309304,-1.821864249e+07,3051,1257,244783,8820,73479,45026,145589,233836,63650,4956,103,0,0
1200,1545176762586,309128,-1.821893005e+07,3075,1178,244377,9186,74034,44617,145860,233331,63822,4993,127,1,0
1210,1545176778684,308899,-1.823656030e+07,3082,1162,245432,9455,75135,45126,144465,233512,64713,5323,120,1,0
1220,1545176794745,308730,-1.822800423e+07,3017,1184,244549,9184,74817,45503,145215,233100,64419,5285,114,1,0
1230,1545176810677,308581,-1.823786614e+07,3034,1239,245706,9548,74713,45044,144254,233896,64677,5195,111,1,0
1240,1545176828640,308389,-1.823373754e+07,3140,1182,244930,9730,74346,45710,144618,233534,64560,5304,118,0,0
1250,1545176846688,308189,-1.825095253e+07,3117,1231,245206,9688,76361,46403,143433,233030,66145,5419,106,1,0
1260,1545176865131,308085,-1.825087166e+07,3090,1235,245206,9779,76415,46270,143529,232898,66153,5425,129,0,0
1270,1545176883145,307935,-1.825458561e+07,3106,1199,244509,9810,77056,46923,143538,232427,66464,5572,133,0,0
1280,1545176901332,307764,-1.825693681e+07,3078,1291,244920,9709,77769,46614,143058,232601,66778,5564,133,0,0
1290,1545176919575,307597,-1.826675231e+07,3176,1296,245174,9799,77834,47049,142574,232752,66998,5660,150,0,0
1300,1545176950168,307444,-1.826922339e+07,3199,1329,245174,10056,77469,47067,142712,232587,66953,5730,149,3,0
1310,1545176968554,307251,-1.827080069e+07,3169,1295,245747,9828,77740,47389,142243,232586,67475,5691,136,3,0
1320,1545176987108,307116,-1.826872527e+07,3171,1336,244785,10019,78404,46781,142534,232648,67150,5660,142,0,0
1330,1545177005245,306944,-1.828598227e+07,3183,1280,246334,9842,78275,47541,141164,233339,67909,5591,130,1,0
1340,1545177023841,306843,-1.827689135e+07,3272,1228,245455,9915,78705,47034,141930,232744,67640,5695,125,0,0
1350,1545177042229,306702,-1.828268470e+07,3090,1306,245661,9800,79363,47497,141580,232558,67981,5863,152,0,0
1360,1545177060424,306577,-1.828449900e+07,3122,1283,245628,9842,79996,47183,141356,232535,68357,5740,145,1,0
1370,1545177078665,306419,-1.829028571e+07,3204,1311,245923,9805,80053,47303,140854,233022,68347,5762,148,1,0
1380,1545177097135,306266,-1.828547701e+07,3169,1265,245227,9932,80387,46820,141509,232559,68108,5809,147,2,0
1390,1545177115709,306093,-1.829473793e+07,3275,1295,245535,10244,80193,47504,140837,232749,68488,5923,133,4,0
1400,1545177135190,305986,-1.829443094e+07,3217,1202,245256,10042,80694,47789,140888,232446,68789,5869,141,1,0
1410,1545177153815,305814,-1.830075659e+07,3169,1277,245772,10190,81347,48079,140242,232294,69406,6040,152,0,0
1420,1545177172260,305723,-1.830239283e+07,3250,1284,244864,10237,81032,48384,140794,231920,69273,6003,144,0,0
1430,1545177190298,305613,-1.829898682e+07,3241,1264,245209,10399,81171,48188,140817,231523,69568,6091,135,0,0
