iteration,0,1,2,3,4,5,6,7,8,9,10,11
211950,162342,136158,138076,10524,933,89,10,1,1,0,0,0
211960,162368,136095,138137,10484,952,84,13,1,0,0,0,0
211970,162348,136119,138155,10449,970,81,11,1,0,0,0,0
211980,162305,136195,138122,10465,951,83,11,1,1,0,0,0
211990,162271,136238,138121,10480,923,86,14,0,1,0,0,0
212000,162338,136136,138135,10480,954,76,14,0,1,0,0,0
212010,162298,136198,138143,10450,943,85,16,1,0,0,0,0
212020,162281,136226,138107,10489,943,74,13,1,0,0,0,0
212030,162345,136106,138158,10502,929,78,13,2,1,0,0,0
212040,162299,136176,138156,10476,934,78,13,2,0,0,0,0
212050,162342,136085,138200,10502,905,82,15,1,2,0,0,0
212060,162359,136086,138168,10498,920,84,16,2,1,0,0,0
212070,162354,136055,138251,10439,936,81,16,1,1,0,0,0
212080,162377,136027,138227,10480,923,82,16,1,1,0,0,0
212090,162350,136118,138119,10520,938,70,17,2,0,0,0,0
212100,162375,136062,138177,10483,934,87,14,2,0,0,0,0
212110,162361,136080,138175,10488,930,81,18,1,0,0,0,0
212120,162353,136102,138164,10474,942,84,11,4,0,0,0,0
212130,162402,135944,138309,10454,935,75,10,5,0,0,0,0
212140,162371,136022,138240,10475,942,68,13,3,0,0,0,0
212150,162388,136041,138164,10507,942,79,11,1,1,0,0,0
212160,162372,136056,138168,10524,918,80,15,0,1,0,0,0
212170,162402,136050,138121,10514,952,81,12,1,1,0,0,0
212180,162442,135992,138129,10510,968,78,13,2,0,0,0,0
212190,162471,135900,138206,10517,946,78,15,1,0,0,0,0
212200,162422,135947,138266,10474,909,102,11,3,0,0,0,0
212210,162416,135991,138198,10482,948,87,10,2,0,0,0,0
212220,162422,135905,138328,10453,931,82,11,2,0,0,0,0
212230,162429,135936,138249,10491,934,82,11,1,1,0,0,0
212240,162410,135972,138214,10531,910,84,11,1,1,0,0,0
212250,162418,135985,138199,10494,936,90,10,1,1,0,0,0
212260,162420,135953,138251,10482,925,87,15,0,1,0,0,0
212270,162429,135984,138176,10494,951,90,9,0,1,0,0,0
212280,162381,136057,138146,10522,933,83,12,0,0,0,0,0
212290,162376,136072,138108,10575,906,87,8,2,0,0,0,0
212300,162371,136062,138186,10472,945,85,12,1,0,0,0,0
212310,162353,136044,138257,10454,932,80,13,0,1,0,0,0
212320,162340,136030,138298,10466,904,84,11,0,1,0,0,0
212330,162348,136048,138252,10481,902,90,11,1,1,0,0,0
212340,162363,136031,138249,10473,919,87,10,1,1,0,0,0
212350,162377,135988,138303,10444,919,89,12,1,1,0,0,0
212360,162314,136121,138224,10463,901,96,13,2,0,0,0,0
212370,162240,136262,138177,10414,943,86,10,2,0,0,0,0
212380,162222,136284,138185,10406,937,86,14,0,0,0,0,0
212390,162264,136188,138263,10378,930,100,11,0,0,0,0,0
212400,162288,136129,138279,10426,905,93,14,0,0,0,0,0
212410,162262,136190,138220,10452,918,77,14,1,0,0,0,0
212420,162292,136108,138322,10375,940,86,10,1,0,0,0,0
212430,162323,136095,138247,10441,928,91,8,1,0,0,0,0
212440,162341,136046,138294,10420,934,90,9,0,0,0,0,0
212450,162306,136143,138208,10453,916,96,12,0,0,0,0,0
212460,162351,136096,138181,10459,947,90,9,1,0,0,0,0
212470,162391,136000,138223,10494,934,82,10,0,0,0,0,0
212480,162371,136021,138251,10466,925,87,13,0,0,0,0,0
212490,162360,136098,138133,10513,930,89,11,0,0,0,0,0
212500,162438,135969,138174,10501,956,86,10,0,0,0,0,0
212510,162388,136062,138125,10523,939,85,12,0,0,0,0,0
212520,162400,136032,138137,10533,939,85,8,0,0,0,0,0
212530,162389,136050,138169,10475,948,89,14,0,0,0,0,0
212540,162383,136063,138148,10505,931,88,16,0,0,0,0,0
212550,162418,136005,138168,10492,949,91,11,0,0,0,0,0
212560,162466,135938,138149,10542,938,88,11,2,0,0,0,0
212570,162436,136022,138087,10542,944,84,17,2,0,0,0,0
212580,162481,135940,138102,10575,927,97,12,0,0,0,0,0
212590,162545,135829,138152,10549,955,90,14,0,0,0,0,0
212600,162547,135845,138122,10562,946,99,11,2,0,0,0,0
212610,162548,135794,138224,10498,963,96,11,0,0,0,0,0
212620,162547,135805,138229,10466,978,95,12,2,0,0,0,0
212630,162538,135847,138164,10497,984,92,12,0,0,0,0,0
212640,162544,135789,138226,10523,949,90,13,0,0,0,0,0
212650,162553,135781,138233,10498,964,93,12,0,0,0,0,0
212660,162493,135856,138264,10464,946,93,17,1,0,0,0,0
212670,162466,135959,138138,10509,955,90,17,0,0,0,0,0
212680,162466,135921,138210,10468,970,85,14,0,0,0,0,0
212690,162498,135871,138224,10472,961,94,13,1,0,0,0,0
212700,162487,135851,138252,10511,934,85,13,1,0,0,0,0
212710,162481,135867,138246,10498,945,83,12,2,0,0,0,0
212720,162442,135980,138141,10529,940,88,13,1,0,0,0,0
212730,162419,135917,138331,10429,942,79,14,3,0,0,0,0
212740,162470,135868,138283,10470,943,84,14,2,0,0,0,0
212750,162486,135874,138229,10500,942,86,15,2,0,0,0,0
212760,162488,135872,138218,10519,933,90,11,3,0,0,0,0
212770,162466,135856,138310,10455,953,83,11,0,0,0,0,0
212780,162431,135964,138224,10456,955,90,14,0,0,0,0,0
212790,162402,135977,138243,10487,932,77,15,1,0,0,0,0
212800,162339,136051,138290,10420,942,77,15,0,0,0,0,0
212810,162391,136019,138212,10465,953,81,12,1,0,0,0,0
212820,162424,135925,138307,10435,943,83,16,1,0,0,0,0
212830,162449,135880,138322,10434,955,78,14,2,0,0,0,0
212840,162426,135925,138281,10465,947,77,12,1,0,0,0,0
212850,162476,135830,138346,10426,962,79,14,1,0,0,0,0
212860,162520,135761,138336,10474,952,77,13,0,1,0,0,0
212870,162459,135817,138393,10444,925,78,17,1,0,0,0,0
212880,162501,135738,138432,10434,932,82,13,2,0,0,0,0
212890,162389,135919,138399,10402,930,81,13,0,1,0,0,0
212900,162383,135918,138436,10367,928,83,17,2,0,0,0,0
212910,162387,135949,138371,10389,937,81,18,1,1,0,0,0
212920,162378,135989,138306,10435,923,84,18,0,1,0,0,0
212930,162368,135989,138333,10406,941,85,12,0,0,0,0,0
212940,162399,135946,138310,10462,916,88,13,0,0,0,0,0
212950,162364,135970,138376,10402,920,87,14,1,0,0,0,0
212960,162346,136035,138308,10416,925,90,13,1,0,0,0,0
212970,162290,136108,138325,10389,920,84,17,1,0,0,0,0
212980,162254,136180,138289,10395,907,92,16,1,0,0,0,0
212990,162271,136142,138307,10391,926,81,16,0,0,0,0,0
213000,162259,136181,138295,10359,931,93,15,1,0,0,0,0
213010,162263,136183,138278,10369,938,84,17,2,0,0,0,0
213020,162250,136205,138268,10361,958,76,14,2,0,0,0,0
213030,162316,136120,138265,10370,958,90,13,2,0,0,0,0
213040,162316,136122,138245,10401,948,86,15,1,0,0,0,0
213050,162285,136153,138274,10371,951,85,14,1,0,0,0,0
213060,162299,136149,138232,10402,956,85,11,0,0,0,0,0
213070,162360,136042,138237,10469,929,87,10,0,0,0,0,0
213080,162365,136004,138321,10400,943,90,11,0,0,0,0,0
213090,162366,136010,138310,10407,935,94,11,1,0,0,0,0
213100,162432,135917,138280,10476,927,92,9,1,0,0,0,0
213110,162430,135983,138172,10507,939,90,11,2,0,0,0,0
213120,162440,135946,138219,10493,927,93,15,0,1,0,0,0
213130,162383,136041,138192,10485,924,98,10,0,1,0,0,0
213140,162394,136055,138118,10543,919,94,10,0,1,0,0,0
213150,162351,136121,138101,10552,904,92,12,1,0,0,0,0
213160,162392,136046,138138,10542,910,93,11,1,1,0,0,0
213170,162375,136063,138175,10485,928,95,12,1,0,0,0,0
213180,162364,136148,138038,10552,925,91,14,1,1,0,0,0
213190,162348,136150,138094,10500,934,91,15,1,1,0,0,0
213200,162395,136057,138111,10541,934,81,14,1,0,0,0,0
213210,162419,136067,138076,10498,966,93,14,0,1,0,0,0
213220,162397,136102,138037,10549,949,87,11,2,0,0,0,0
213230,162411,136074,138053,10559,923,99,15,0,0,0,0,0
213240,162399,136067,138109,10509,943,93,13,1,0,0,0,0
213250,162366,136153,138037,10529,940,96,11,2,0,0,0,0
213260,162404,136037,138136,10520,937,83,17,0,0,0,0,0
213270,162427,136027,138094,10545,935,92,14,0,0,0,0,0
213280,162400,136034,138160,10498,937,92,13,0,0,0,0,0
213290,162410,136022,138140,10525,939,87,11,0,0,0,0,0
213300,162391,136078,138131,10463,965,94,9,3,0,0,0,0
213310,162405,136042,138136,10495,959,83,14,0,0,0,0,0
213320,162386,136106,138083,10494,960,93,9,3,0,0,0,0
213330,162334,136213,138014,10517,951,92,13,0,0,0,0,0
213340,162402,136062,138111,10501,952,97,9,0,0,0,0,0
