iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
1950,29233,9387,10000,6573,1546,259,62,16,1,0,0,0,0
1960,29300,9356,9917,6569,1580,285,57,12,0,1,0,0,0
1970,29300,9360,9887,6591,1602,272,55,8,2,0,0,0,0
1980,29327,9266,10016,6521,1602,273,63,8,0,1,0,0,0
1990,29303,9341,9915,6612,1550,281,63,10,1,1,0,0,0
2000,29299,9324,9999,6508,1601,267,64,13,1,1,0,0,0
2010,29300,9309,9986,6569,1562,279,58,14,0,0,0,0,0
2020,29305,9325,9970,6570,1537,285,70,11,4,0,0,0,0
2030,29312,9307,9941,6616,1556,275,56,8,5,1,0,0,0
2040,29315,9295,10018,6529,1543,298,62,12,4,1,0,0,0
2050,29259,9311,10075,6552,1534,277,52,10,6,1,0,0,0
2060,29346,9211,10044,6565,1560,281,56,11,2,1,0,0,0
2070,29333,9234,10048,6552,1554,282,59,10,4,1,0,0,0
2080,29297,9358,9926,6544,1614,269,53,13,2,1,0,0,0
2090,29324,9342,9891,6564,1607,275,64,7,2,1,0,0,0
2100,29345,9243,9974,6599,1581,267,52,11,4,1,0,0,0
2110,29341,9238,10005,6568,1586,271,52,14,2,0,0,0,0
2120,29418,9111,10071,6514,1630,261,53,14,4,1,0,0,0
2130,29353,9247,9971,6549,1638,250,52,10,6,1,0,0,0
2140,29325,9265,10018,6546,1583,264,55,14,5,2,0,0,0
2150,29370,9208,10003,6572,1572,276,58,13,5,0,0,0,0
2160,29284,9295,9997,6633,1538,260,58,8,3,1,0,0,0
2170,29310,9326,9951,6553,1580,289,55,9,4,0,0,0,0
2180,29307,9341,9897,6615,1572,277,54,13,0,1,0,0,0
2190,29328,9326,9892,6590,1597,272,60,8,3,1,0,0,0
2200,29428,9190,9894,6585,1648,260,55,14,3,0,0,0,0
2210,29410,9241,9875,6579,1611,281,63,14,3,0,0,0,0
2220,29406,9207,9944,6571,1578,293,58,16,4,0,0,0,0
2230,29370,9244,9923,6611,1577,288,47,13,3,1,0,0,0
2240,29330,9331,9849,6666,1544,288,53,13,2,1,0,0,0
2250,29390,9208,9928,6637,1560,283,54,13,4,0,0,0,0
2260,29401,9214,9895,6628,1593,276,54,15,1,0,0,0,0
2270,29343,9227,10004,6589,1579,271,45,18,1,0,0,0,0
2280,29310,9287,9992,6572,1580,269,49,14,3,1,0,0,0
2290,29391,9240,9869,6655,1560,296,51,12,3,0,0,0,0
2300,29380,9201,9950,6629,1581,271,48,14,3,0,0,0,0
2310,29418,9138,9977,6633,1559,279,59,12,1,1,0,0,0
2320,29402,9126,10027,6618,1563,270,58,11,2,0,0,0,0
2330,29304,9272,10001,6605,1564,267,51,13,0,0,0,0,0
2340,29308,9229,10023,6637,1577,249,41,12,1,0,0,0,0
2350,29311,9310,9920,6657,1519,295,53,10,1,1,0,0,0
2360,29347,9179,10044,6624,1553,264,58,6,2,0,0,0,0
2370,29379,9210,9960,6585,1606,270,53,12,2,0,0,0,0
2380,29384,9215,9966,6580,1554,307,59,11,1,0,0,0,0
2390,29315,9291,9984,6575,1556,284,57,13,2,0,0,0,0
2400,29383,9191,9977,6589,1618,240,62,15,2,0,0,0,0
2410,29392,9199,9970,6564,1602,278,58,12,2,0,0,0,0
2420,29393,9198,9951,6630,1528,302,63,9,3,0,0,0,0
2430,29384,9244,9889,6645,1543,296,65,10,1,0,0,0,0
2440,29441,9099,9935,6739,1507,285,60,10,1,0,0,0,0
2450,29418,9181,9879,6692,1559,278,56,12,2,0,0,0,0
2460,29408,9200,9931,6597,1570,296,65,7,2,1,0,0,0
2470,29487,9119,9853,6673,1576,300,57,9,3,0,0,0,0
2480,29449,9092,9978,6640,1565,284,55,13,1,0,0,0,0
2490,29454,9133,9882,6697,1554,281,66,8,2,0,0,0,0
2500,29474,9108,9882,6724,1507,304,63,13,2,0,0,0,0
2510,29503,9088,9878,6655,1582,304,50,16,1,0,0,0,0
2520,29444,9148,9892,6686,1528,307,64,8,0,0,0,0,0
2530,29474,9093,9893,6698,1570,281,57,11,0,0,0,0,0
2540,29553,9032,9812,6755,1556,304,47,15,2,1,0,0,0
2550,29484,9045,9947,6694,1560,288,40,16,3,0,0,0,0
2560,29501,9061,9886,6700,1583,279,54,11,2,0,0,0,0
2570,29500,9062,9904,6655,1618,276,47,12,3,0,0,0,0
2580,29503,9066,9950,6572,1627,287,56,12,4,0,0,0,0
2590,29471,9077,9978,6624,1558,295,56,15,3,0,0,0,0
2600,29461,9125,9922,6629,1587,267,67,16,3,0,0,0,0
2610,29489,9114,9888,6639,1571,292,66,14,4,0,0,0,0
2620,29417,9128,10005,6616,1557,277,63,12,2,0,0,0,0
2630,29456,9078,10009,6615,1559,277,67,15,1,0,0,0,0
2640,29514,9056,9930,6620,1580,294,72,9,2,0,0,0,0
2650,29504,9037,9935,6653,1611,269,56,10,2,0,0,0,0
2660,29440,9122,9963,6615,1579,293,54,9,2,0,0,0,0
2670,29529,8987,9995,6631,1578,269,71,13,3,1,0,0,0
2680,29525,9024,9965,6574,1646,260,67,13,3,0,0,0,0
2690,29508,9048,9934,6651,1572,284,64,12,4,0,0,0,0
2700,29505,9078,9885,6668,1580,279,66,14,2,0,0,0,0
2710,29485,9098,9908,6635,1583,292,67,8,1,0,0,0,0
2720,29439,9148,9899,6680,1551,285,64,10,1,0,0,0,0
2730,29443,9136,9931,6614,1617,264,56,15,1,0,0,0,0
2740,29376,9252,9904,6597,1595,284,59,8,2,0,0,0,0
