iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1770,21936,6689,5393,2955,1449,747,321,144,68,27,5,8,0,1,0,0,0,0,0
1780,21915,6741,5371,2913,1483,727,347,145,67,25,7,0,1,0,1,0,0,0,0
1790,21866,6802,5400,2895,1518,655,334,152,77,25,12,5,1,1,0,0,0,0,0
1800,21992,6699,5261,2936,1559,711,336,146,63,25,11,2,2,0,0,0,0,0,0
1810,22005,6583,5443,2885,1555,671,327,162,79,23,5,2,2,1,0,0,0,0,0
1820,21884,6734,5443,2882,1484,739,342,138,63,21,9,3,1,0,0,0,0,0,0
1830,21887,6749,5390,2911,1538,707,312,142,57,37,7,3,3,0,0,0,0,0,0
1840,21885,6734,5432,2916,1492,698,325,165,51,29,12,3,1,0,0,0,0,0,0
1850,21885,6725,5469,2856,1510,729,321,139,70,27,7,5,0,0,0,0,0,0,0
1860,21923,6710,5342,2987,1501,687,355,138,62,27,7,4,0,0,0,0,0,0,0
1870,21934,6613,5489,2943,1471,727,322,140,63,28,8,4,1,0,0,0,0,0,0
1880,21876,6730,5458,2893,1490,725,333,132,64,27,12,2,0,0,1,0,0,0,0
1890,21841,6807,5409,2938,1453,703,342,146,61,23,14,4,2,0,0,0,0,0,0
1900,21939,6775,5327,2868,1540,686,350,132,67,38,15,4,2,0,0,0,0,0,0
1910,21915,6723,5355,2971,1491,731,307,144,60,26,10,7,2,1,0,0,0,0,0
1920,21892,6718,5420,2960,1454,731,315,141,67,35,7,2,0,0,1,0,0,0,0
1930,21865,6681,5515,2950,1475,696,299,156,60,31,11,2,1,1,0,0,0,0,0
1940,21905,6672,5462,2957,1474,710,303,152,61,25,13,3,6,0,0,0,0,0,0
1950,21843,6649,5622,2896,1477,685,324,149,63,18,11,6,0,0,0,0,0,0,0
1960,21991,6624,5386,2910,1530,729,325,142,60,34,10,2,0,0,0,0,0,0,0
1970,21863,6718,5468,2953,1463,709,336,132,55,23,15,4,2,1,0,1,0,0,0
1980,21950,6706,5408,2876,1449,749,342,160,62,29,9,3,0,0,0,0,0,0,0
1990,21908,6709,5461,2890,1450,748,314,153,64,28,15,3,0,0,0,0,0,0,0
2000,21866,6746,5531,2818,1488,673,359,154,65,24,14,4,1,0,0,0,0,0,0
2010,21872,6794,5420,2890,1480,684,321,164,66,32,14,4,1,1,0,0,0,0,0
2020,21874,6813,5339,2925,1473,733,338,150,59,25,11,2,0,1,0,0,0,0,0
