iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
930,1540808015545,17781,-5.774417762e+05,8018,426,148,318,65,145,277,77,30533,8949,258,3,0,0,0,0,0
940,1540808020634,17773,-5.770142548e+05,7931,450,201,328,52,120,252,75,30603,8878,255,7,0,0,0,0,0
950,1540808024896,17821,-5.771867052e+05,7729,521,207,358,51,127,304,62,30690,8750,300,3,0,0,0,0,0
960,1540808030196,17784,-5.761365857e+05,7579,558,218,342,72,101,299,58,30823,8619,295,6,0,0,0,0,0
970,1540808034346,17940,-5.762920939e+05,7512,540,179,338,58,120,293,79,30899,8572,269,3,0,0,0,0,0
980,1540808039640,17877,-5.753461198e+05,7442,523,164,303,76,112,312,78,31008,8463,269,3,0,0,0,0,0
990,1540808043639,17785,-5.770269180e+05,7551,605,174,404,56,124,321,60,30765,8668,303,7,0,0,0,0,0
1000,1540808050089,17912,-5.760236443e+05,7427,612,180,345,51,125,308,73,30902,8568,266,7,0,0,0,0,0
1010,1540808054340,17779,-5.763312984e+05,7495,552,155,374,83,114,308,96,30876,8564,296,7,0,0,0,0,0
1020,1540808059584,17771,-5.770193938e+05,7619,586,166,394,50,124,284,88,30728,8720,294,1,0,0,0,0,0
1030,1540808063972,17742,-5.776294424e+05,7709,554,159,389,60,146,319,99,30617,8825,293,8,0,0,0,0,0
1040,1540808069041,17759,-5.770837656e+05,7624,573,158,367,65,125,264,97,30783,8651,305,4,0,0,0,0,0
1050,1540808073298,17848,-5.764295400e+05,7526,556,138,365,76,132,318,93,30843,8599,298,3,0,0,0,0,0
1060,1540808078580,17811,-5.766528050e+05,7659,573,113,364,59,173,289,70,30769,8650,322,2,0,0,0,0,0
1070,1540808082798,17846,-5.751526843e+05,7557,518,127,351,54,145,220,85,30962,8509,268,4,0,0,0,0,0
1080,1540808088017,17868,-5.752819827e+05,7506,507,129,330,51,118,310,66,30994,8485,260,4,0,0,0,0,0
1090,1540808092031,17861,-5.757087779e+05,7593,560,140,368,48,127,266,77,30858,8593,290,2,0,0,0,0,0
1100,1540808098447,17923,-5.757734635e+05,7599,513,137,407,50,132,252,81,30872,8575,292,4,0,0,0,0,0
1110,1540808102651,17816,-5.747368743e+05,7428,569,119,314,52,115,298,81,31034,8445,261,3,0,0,0,0,0
1120,1540808107150,17813,-5.764296207e+05,7592,584,140,325,54,109,290,94,30839,8624,276,4,0,0,0,0,0
1130,1540808111444,17817,-5.760175562e+05,7527,631,151,312,39,146,277,84,30873,8576,291,3,0,0,0,0,0
1140,1540808116165,17798,-5.754040863e+05,7461,566,134,287,60,156,292,58,31021,8436,280,6,0,0,0,0,0
1150,1540808120343,17909,-5.751170773e+05,7496,523,125,281,37,194,281,81,30989,8491,262,1,0,0,0,0,0
1160,1540808125603,17854,-5.753379713e+05,7541,553,147,269,54,133,277,67,30990,8469,280,4,0,0,0,0,0
1170,1540808129755,17868,-5.764267460e+05,7690,525,171,269,39,142,306,75,30823,8628,287,5,0,0,0,0,0
1180,1540808135015,17893,-5.750888407e+05,7435,528,164,293,46,105,310,84,31081,8365,291,6,0,0,0,0,0
1190,1540808139052,17895,-5.751210846e+05,7496,590,151,257,45,87,286,70,31063,8383,292,5,0,0,0,0,0
1200,1540808145088,17821,-5.758942956e+05,7607,561,141,270,59,106,268,105,30919,8534,287,3,0,0,0,0,0
1210,1540808149240,17883,-5.751680091e+05,7460,520,140,288,67,115,302,107,31007,8474,261,1,0,0,0,0,0
1220,1540808154566,17895,-5.746356175e+05,7397,490,146,291,56,111,313,71,31144,8325,272,2,0,0,0,0,0
1230,1540808158994,17840,-5.749390073e+05,7482,536,151,282,77,118,238,73,31057,8420,261,5,0,0,0,0,0
1240,1540808164130,17854,-5.759949854e+05,7708,560,141,299,59,111,256,66,30815,8656,272,0,0,0,0,0,0
1250,1540808168393,17814,-5.758746519e+05,7639,573,123,305,53,107,295,65,30874,8582,283,4,0,0,0,0,0
1260,1540808173705,17835,-5.759590750e+05,7610,572,124,325,57,155,267,74,30850,8606,283,4,0,0,0,0,0
1270,1540808177771,17941,-5.762910103e+05,7659,570,118,308,54,114,270,94,30821,8664,251,7,0,0,0,0,0
1280,1540808183109,17872,-5.765194000e+05,7701,610,139,262,39,135,339,86,30731,8721,284,6,1,0,0,0,0
1290,1540808187130,17777,-5.769376986e+05,7614,570,187,280,36,189,322,77,30784,8647,308,4,0,0,0,0,0
