iteration,0,1,2,3,4,5,6,7,8,9,10
3310,150802,157059,130616,8872,710,63,12,0,0,0,0
3320,150813,157047,130598,8900,697,71,8,0,0,0,0
3330,150787,157111,130557,8893,711,65,9,1,0,0,0
3340,150789,157066,130649,8841,713,61,15,0,0,0,0
3350,150788,157085,130594,8891,703,62,11,0,0,0,0
3360,150848,156968,130664,8864,714,67,8,1,0,0,0
3370,150871,156949,130666,8827,741,72,8,0,0,0,0
3380,150894,156895,130685,8859,724,67,9,1,0,0,0
3390,150888,156865,130759,8826,717,70,8,1,0,0,0
3400,150893,156853,130744,8878,684,71,9,2,0,0,0
3410,150893,156854,130757,8843,708,70,8,1,0,0,0
3420,150936,156821,130720,8847,729,70,11,0,0,0,0
3430,150951,156794,130694,8914,707,63,10,1,0,0,0
3440,150980,156789,130634,8940,712,67,10,2,0,0,0
3450,151022,156670,130747,8893,731,61,8,2,0,0,0
3460,151011,156706,130705,8925,708,64,14,1,0,0,0
3470,151000,156707,130735,8901,714,65,11,1,0,0,0
3480,150992,156694,130808,8828,735,64,11,2,0,0,0
3490,150992,156719,130735,8890,728,59,10,0,1,0,0
3500,151000,156716,130736,8873,731,67,10,0,1,0,0
3510,150985,156697,130805,8851,716,72,6,2,0,0,0
3520,151023,156650,130795,8863,721,73,7,2,0,0,0
3530,150993,156667,130837,8849,710,66,9,2,1,0,0
3540,151036,156585,130868,8855,714,65,10,1,0,0,0
3550,151076,156543,130832,8888,720,67,8,0,0,0,0
3560,151064,156545,130894,8820,726,73,12,0,0,0,0
3570,151135,156462,130849,8869,740,68,10,1,0,0,0
3580,151142,156443,130864,8869,734,72,10,0,0,0,0
3590,151174,156399,130862,8883,734,69,10,3,0,0,0
3600,151155,156494,130730,8935,738,70,11,1,0,0,0
3610,151171,156430,130802,8916,735,68,12,0,0,0,0
3620,151154,156439,130828,8902,733,67,11,0,0,0,0
3630,151191,156378,130831,8923,738,65,8,0,0,0,0
3640,151157,156455,130787,8920,740,66,8,1,0,0,0
3650,151150,156431,130860,8879,732,74,8,0,0,0,0
3660,151195,156366,130828,8947,729,59,10,0,0,0,0
3670,151212,156361,130814,8924,752,61,10,0,0,0,0
3680,151180,156454,130744,8919,760,67,10,0,0,0,0
3690,151128,156524,130734,8934,738,69,6,1,0,0,0
3700,151118,156575,130674,8943,746,70,8,0,0,0,0
3710,151144,156536,130668,8961,753,65,7,0,0,0,0
3720,151147,156530,130674,8958,751,66,8,0,0,0,0
3730,151172,156486,130698,8950,747,72,9,0,0,0,0
3740,151203,156471,130637,9000,737,76,9,1,0,0,0
3750,151179,156431,130763,8953,732,67,8,1,0,0,0
3760,151245,156342,130742,8990,745,63,6,1,0,0,0
3770,151188,156408,130780,8957,721,71,7,2,0,0,0
3780,151215,156380,130772,8955,732,67,9,4,0,0,0
3790,151240,156308,130824,8954,732,69,6,1,0,0,0
3800,151293,156304,130703,9004,752,65,12,1,0,0,0
3810,151308,156246,130783,8965,748,71,11,2,0,0,0
3820,151280,156303,130731,8999,747,61,12,1,0,0,0
3830,151276,156330,130717,8966,769,62,12,2,0,0,0
3840,151305,156327,130617,9054,758,60,12,1,0,0,0
3850,151352,156214,130728,8985,777,67,11,0,0,0,0
3860,151363,156180,130767,8972,766,76,10,0,0,0,0
3870,151438,156056,130772,9026,763,70,9,0,0,0,0
3880,151419,156120,130710,9031,777,69,8,0,0,0,0
3890,151401,156112,130762,9026,751,76,6,0,0,0,0
3900,151420,156090,130763,9019,762,69,10,0,1,0,0
3910,151444,156059,130743,9048,767,63,9,0,1,0,0
3920,151442,156013,130828,9027,747,66,11,0,0,0,0
3930,151468,155992,130818,9008,772,64,10,2,0,0,0
3940,151455,155995,130830,9027,749,67,10,1,0,0,0
3950,151470,155960,130865,8999,765,65,8,2,0,0,0
3960,151508,155911,130858,9007,775,66,7,2,0,0,0
3970,151435,156034,130851,8950,783,71,9,1,0,0,0
3980,151428,156043,130826,9000,755,74,7,1,0,0,0
3990,151484,155979,130798,9022,773,68,9,1,0,0,0
4000,151492,155953,130818,9036,751,73,9,2,0,0,0
4010,151493,155946,130829,9022,769,63,11,1,0,0,0
4020,151542,155794,130990,8966,763,66,11,2,0,0,0
4030,151597,155734,130950,9019,743,77,12,2,0,0,0
4040,151615,155742,130913,8994,784,71,13,1,1,0,0
4050,151642,155706,130901,9022,769,81,12,1,0,0,0
4060,151625,155710,130923,9032,754,76,12,2,0,0,0
4070,151632,155697,130907,9068,742,77,11,0,0,0,0
4080,151629,155678,130957,9030,758,73,8,1,0,0,0
4090,151583,155782,130880,9065,734,80,9,1,0,0,0
4100,151591,155751,130945,8998,757,82,9,1,0,0,0
4110,151609,155736,130932,9002,760,82,13,0,0,0,0
4120,151604,155731,130925,9038,750,78,7,1,0,0,0
4130,151626,155700,130925,9046,750,77,9,1,0,0,0
4140,151624,155709,130914,9042,760,79,6,0,0,0,0
4150,151630,155732,130829,9115,751,69,6,2,0,0,0
4160,151657,155703,130812,9140,735,75,12,0,0,0,0
4170,151637,155660,130959,9043,760,64,10,1,0,0,0
4180,151605,155729,130903,9074,749,65,7,2,0,0,0
4190,151607,155682,131012,8999,756,65,11,1,0,1,0
4200,151598,155684,131003,9037,735,70,6,1,0,0,0
4210,151574,155769,130896,9105,705,75,7,3,0,0,0
4220,151583,155723,130959,9075,717,66,7,4,0,0,0
4230,151566,155759,130948,9052,731,69,9,0,0,0,0
4240,151555,155752,130984,9039,731,65,8,0,0,0,0
4250,151560,155758,130964,9039,739,69,5,0,0,0,0
4260,151630,155635,130984,9098,708,71,6,2,0,0,0
4270,151615,155674,130943,9116,712,67,6,1,0,0,0
4280,151595,155729,130896,9130,706,69,9,0,0,0,0
4290,151588,155745,130893,9119,710,68,11,0,0,0,0
4300,151599,155710,130929,9108,707,72,9,0,0,0,0
4310,151656,155592,130991,9105,716,65,7,2,0,0,0
4320,151645,155600,131039,9041,723,76,9,1,0,0,0
4330,151681,155532,131060,9053,725,75,8,0,0,0,0
4340,151633,155613,131030,9062,714,73,9,0,0,0,0
4350,151623,155667,130939,9112,724,59,9,0,1,0,0
4360,151588,155723,130933,9095,724,62,9,0,0,0,0
4370,151626,155647,130991,9054,746,62,7,1,0,0,0
4380,151621,155673,130936,9107,727,60,10,0,0,0,0
4390,151678,155558,130994,9106,730,59,8,1,0,0,0
4400,151673,155576,130972,9113,735,56,8,1,0,0,0
4410,151782,155405,130994,9156,729,55,10,2,1,0,0
4420,151790,155380,131030,9130,731,61,9,3,0,0,0
4430,151805,155334,131070,9133,716,63,9,4,0,0,0
4440,151792,155359,131052,9141,716,62,10,2,0,0,0
4450,151820,155370,130969,9166,729,69,10,1,0,0,0
4460,151882,155283,130984,9161,734,78,10,2,0,0,0
4470,151878,155330,130907,9197,733,72,14,2,0,1,0
4480,151869,155278,131037,9112,759,67,10,1,1,0,0
4490,151901,155231,131037,9132,748,72,10,3,0,0,0
4500,151915,155228,130978,9198,735,66,12,2,0,0,0
4510,151928,155223,130965,9190,747,65,14,2,0,0,0
4520,151885,155245,131044,9140,735,70,14,1,0,0,0
4530,151930,155206,130994,9176,743,72,11,2,0,0,0
4540,151917,155206,130999,9209,727,63,11,2,0,0,0
4550,151916,155169,131074,9174,720,71,10,0,0,0,0
4560,151939,155150,131059,9165,749,59,11,2,0,0,0
4570,151981,155095,131038,9201,744,67,7,1,0,0,0
4580,151998,155083,131031,9191,754,63,13,1,0,0,0
4590,151981,155107,131014,9213,745,65,8,1,0,0,0
4600,152032,154994,131102,9174,757,66,7,2,0,0,0
4610,152041,154975,131108,9179,764,54,11,2,0,0,0
4620,152099,154862,131169,9171,759,62,9,3,0,0,0
4630,152091,154890,131127,9197,758,61,8,2,0,0,0
4640,152021,154947,131208,9145,743,58,10,2,0,0,0
4650,152017,154927,131245,9140,739,55,11,0,0,0,0
4660,151973,155050,131152,9135,756,58,9,1,0,0,0
4670,152000,154997,131163,9165,739,60,10,0,0,0,0
4680,152043,154926,131200,9133,762,60,9,1,0,0,0
4690,152002,154971,131238,9087,766,59,10,1,0,0,0
4700,152004,154996,131174,9143,739,64,13,1,0,0,0
4710,152040,154929,131210,9123,755,66,11,0,0,0,0
4720,152030,154974,131139,9174,739,64,14,0,0,0,0
4730,152033,154965,131134,9197,722,76,7,0,0,0,0
4740,152030,154918,131233,9141,741,63,8,0,0,0,0
4750,151979,155042,131158,9136,736,74,9,0,0,0,0
4760,151964,155057,131158,9147,731,68,7,2,0,0,0
4770,151930,155117,131153,9113,745,65,10,1,0,0,0
4780,152006,155003,131155,9152,739,65,14,0,0,0,0
4790,152013,154976,131180,9148,741,66,10,0,0,0,0
4800,152015,155049,131034,9218,740,67,9,2,0,0,0
4810,151994,155048,131111,9150,752,68,11,0,0,0,0
