iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
950,1540689846464,315106,-1.808684698e+07,2773,1343,243081,8438,61918,39275,154053,235305,54886,3809,81,0,0
960,1540689862770,314911,-1.809470904e+07,2832,1331,243634,8621,62364,39409,153411,235250,55551,3849,73,0,0
970,1540689878877,314647,-1.809724665e+07,2838,1218,242840,8578,63022,39748,153705,234622,55858,3890,59,0,0
980,1540689895193,314339,-1.810770652e+07,2859,1379,243312,8792,63517,40071,152951,234638,56419,4050,76,0,0
990,1540689911058,314102,-1.811358735e+07,2910,1241,243291,8451,64467,40471,152300,235085,56574,4102,73,0,0
1000,1540689927772,313836,-1.811974904e+07,2881,1263,243381,8520,65075,40554,152133,234510,57398,4006,85,2,0
1010,1540689943760,313604,-1.812657505e+07,2837,1349,243447,8863,65413,41128,151358,234907,57562,4223,83,1,0
1020,1540689960372,313345,-1.813029379e+07,2993,1229,243647,8556,65986,40983,151335,234600,57896,4211,91,1,0
1030,1540689976377,313125,-1.812846883e+07,2903,1301,243250,8583,66007,41622,151351,234400,57971,4324,88,0,0
1040,1540689992771,312870,-1.813784243e+07,2914,1276,243725,8668,66483,41651,150647,234683,58473,4236,95,0,0
1050,1540690008873,312603,-1.813970654e+07,2957,1231,243692,8883,67500,41380,150546,234134,58941,4425,88,0,0
1060,1540690025164,312357,-1.815806899e+07,3005,1273,243264,9075,68563,42563,149800,233558,60245,4433,94,4,0
1070,1540690041070,312089,-1.815759878e+07,2963,1315,244058,8883,68908,42567,149074,234206,60178,4573,102,1,0
1080,1540690057483,311880,-1.816189507e+07,3001,1336,243764,8886,68996,42564,149264,233994,60176,4599,101,0,0
1090,1540690073422,311625,-1.816195535e+07,2967,1288,243414,8821,69004,42989,149290,234028,60094,4621,101,0,0
1100,1540690090958,311444,-1.817413999e+07,2940,1274,243867,8961,70383,43883,148109,233738,61413,4752,122,0,0
1110,1540690106723,311169,-1.818041085e+07,3050,1283,244247,8880,70247,43661,147933,233932,61498,4645,125,1,0
1120,1540690122941,310935,-1.818115047e+07,3051,1271,243948,9170,71060,43270,147881,233788,61510,4858,97,0,0
1130,1540690138885,310739,-1.819000890e+07,3022,1318,244226,8855,71224,43633,147350,234190,61794,4700,100,0,0
1140,1540690155138,310542,-1.819276288e+07,3013,1265,244328,9102,71106,43752,147401,233943,61853,4832,104,1,0
1150,1540690171046,310357,-1.819646643e+07,3034,1311,243861,9199,72350,43915,147109,233466,62581,4870,108,0,0
1160,1540690187108,310175,-1.820033721e+07,3027,1281,243986,9094,72321,44449,146899,233568,62511,5057,98,1,0
1170,1540690202888,310001,-1.820058783e+07,3094,1324,243867,9202,72493,44517,146852,233234,62984,4961,103,0,0
1180,1540690219481,309810,-1.820619192e+07,3046,1263,244267,8985,72590,44325,146781,233348,62981,4932,90,2,0
1190,1540690235656,309640,-1.820688801e+07,3062,1267,244152,8970,73216,44467,146534,233273,63235,4978,113,1,0
1200,1540690252226,309429,-1.821645278e+07,3137,1243,244795,9055,73381,44654,145860,233536,63592,5039,107,0,0
1210,1540690268142,309254,-1.822327031e+07,3068,1214,244638,9190,74729,45024,145221,233339,64316,5142,114,2,0
1220,1540690284277,309070,-1.822089588e+07,3013,1238,244271,9362,74744,44969,145318,233472,64034,5186,121,3,0
1230,1540690300289,308874,-1.823211522e+07,3096,1141,244995,9629,74511,44943,145085,233243,64468,5217,120,1,0
1240,1540690316524,308744,-1.822605530e+07,3117,1227,244389,9545,74485,45679,145186,233030,64481,5300,135,2,0
1250,1540690332367,308581,-1.824342100e+07,3162,1241,245311,9643,75483,45809,144199,232783,65715,5314,121,2,0
1260,1540690348502,308387,-1.825237475e+07,3149,1195,245349,9584,76854,45661,143248,233583,65819,5365,119,0,0
1270,1540690364276,308258,-1.824877704e+07,3107,1183,244382,9557,77376,46207,143745,232687,66086,5511,105,0,0
1280,1540690380441,308107,-1.825070709e+07,3227,1202,244441,9718,77545,46155,143357,233036,66112,5489,139,1,0
1290,1540690396039,307972,-1.825423225e+07,3219,1325,244685,9947,77437,46232,143266,232652,66570,5535,107,4,0
1300,1540690413058,307807,-1.825799023e+07,3174,1315,244671,10237,77364,46373,142877,233247,66261,5632,116,1,0
1310,1540690428881,307582,-1.826302910e+07,3216,1323,245232,9864,77990,46915,142347,233151,66654,5848,133,1,0
1320,1540690445263,307431,-1.827091820e+07,3149,1347,245571,10127,78463,46414,142090,232997,67187,5741,118,1,0
1330,1540690461669,307236,-1.826829084e+07,3128,1305,245268,9957,78153,46408,142401,233197,66721,5681,133,1,0
1340,1540690478088,307096,-1.826712406e+07,3168,1218,244774,10133,78643,46930,142437,232516,67332,5711,137,1,0
1350,1540690493949,306984,-1.827634310e+07,3205,1329,245893,9843,77668,46486,142219,233194,67071,5512,138,0,0
1360,1540690510049,306834,-1.827884481e+07,3238,1196,245528,9987,79005,47048,141820,232563,67940,5687,122,2,0
1370,1540690525873,306704,-1.827685245e+07,3360,1172,245323,9793,79440,46674,141616,233177,67569,5642,129,1,0
1380,1540690541902,306573,-1.827764177e+07,3139,1323,245052,9825,79363,47074,141874,232659,67805,5677,119,0,0
1390,1540690557893,306389,-1.829113576e+07,3239,1253,246032,10024,79395,47320,141149,232912,68011,5920,141,1,0
1400,1540690574584,306233,-1.828715997e+07,3158,1186,245502,10075,80222,47802,140884,232762,68430,5909,149,0,0
1410,1540690590544,306088,-1.829617203e+07,3234,1214,245471,10077,81140,47645,140567,232596,68869,5963,137,2,0
1420,1540690606739,305997,-1.829238683e+07,3224,1245,244753,10440,81097,47993,140977,231825,69213,5978,138,3,0
1430,1540690622744,305869,-1.829081313e+07,3239,1198,245159,10384,81051,47483,140857,232249,68952,5943,133,0,0
1440,1540690639218,305759,-1.830365458e+07,3176,1294,245468,10190,81348,47897,140396,232485,69009,6107,136,1,0
1450,1540690655483,305610,-1.830669606e+07,3235,1176,245585,9967,81802,48759,139964,232300,69538,6180,152,0,0
1460,1540690673094,305498,-1.830434738e+07,3276,1219,245017,10493,81750,48216,140288,232094,69538,6056,157,1,0
1470,1540690689459,305380,-1.830887882e+07,3288,1297,245690,10202,82318,48477,139759,231978,70046,6202,149,0,0
1480,1540690706155,305304,-1.830275621e+07,3310,1147,244651,10227,82222,48275,140571,231660,69686,6069,147,1,0
